Family,Species,Sex,Geometric_mean,Skull_shape_index,Occipital_width_index,Atlas_width_index,Scapula_area_index,Forelimb_proportions_index,Humerus_epicondyle_index,Olecranon_mechanical_advantage,Styloid_width_index,Pisiform_mechanical_advantage,Ischium_mechanical_advantage,Femur_epicondyle_index,Hindlimb_malleolus_index,Calcaneus_mechanical_advantage
Felidae,Acinonyx_jubatus,female,79.3096057,0.769534333,1.317781234,1.70787973,0.729830465,1.207501552,0.178018433,0.153167576,0.175394322,0.244980397,0.141082969,0.181200632,0.150661323,0.411230238
Felidae,Acinonyx_jubatus,female,82.03210683,0.77771518,1.295971979,1.749562172,0.741280693,1.232220841,0.175896763,0.154920149,0.176294996,0.258177162,0.139514965,0.17862069,0.145675676,0.422015027
Felidae,Acinonyx_jubatus,female,74.04928201,0.786796968,1.318053052,1.728817924,0.762987192,1.240034788,0.186270114,0.146832874,0.173486659,0.229754928,0.131475763,0.193456376,0.146638655,0.383376675
Felidae,Acinonyx_jubatus,female,82.93890334,0.73752555,1.315164729,1.75750969,0.728969734,1.28306191,0.163084703,0.1552183,0.164927288,0.253727695,0.144071226,0.175763217,0.143488109,0.441171072
Felidae,Acinonyx_jubatus,female,78.61776822,0.768887163,1.304031209,1.734460338,0.703525841,1.238616086,0.174886878,0.15015531,0.169837692,0.238183618,0.139710797,0.182509653,0.14884,0.417680299
Felidae,Acinonyx_jubatus,female,69.46062181,0.786093983,1.256544503,1.648387986,0.697419527,1.226620286,0.160723488,0.140681069,0.161972182,0.231968004,0.138281222,0.165398075,0.138292254,0.411915439
Felidae,Acinonyx_jubatus,female,76.69895643,0.705063126,1.353143159,1.73296355,0.705906263,1.228950462,0.173020258,0.158958858,0.156871819,0.2357624,0.13494262,0.173333333,0.142943063,0.400456795
Felidae,Acinonyx_jubatus,female,72.09292156,0.78021526,1.423655292,1.853383459,0.732656046,1.261151998,0.177765295,0.166341244,0.177416852,0.26647486,0.15338162,0.188607032,0.15269109,0.383281931
Felidae,Acinonyx_jubatus,female,81.94588796,0.754139022,1.275962945,1.726231107,0.723947996,1.304096674,0.170378332,0.160248323,0.190552995,0.254927571,0.141582861,0.184835752,0.140978593,0.407508408
Felidae,Acinonyx_jubatus,female,79.06929877,0.760255418,1.337729506,1.801137833,0.720358632,1.220066166,0.176042591,0.151927726,0.160893855,0.201445016,0.140521573,0.166845329,0.143057176,0.404878049
Felidae,Acinonyx_jubatus,female,79.7010015,0.729090909,1.236107799,1.635344622,0.74252033,1.217107589,0.168518519,0.148349352,0.167782609,0.242693304,0.134711899,0.168759513,0.137783763,0.427529456
Felidae,Acinonyx_jubatus,female,72.90029968,0.752805098,1.322855621,1.736814065,0.718068195,1.254461822,0.173639541,0.156062557,0.16550891,0.255848953,0.137022351,0.184559762,0.150304348,0.429437763
Felidae,Acinonyx_jubatus,male,75.63927716,0.781478312,1.385348584,1.90332244,0.750758869,1.21884058,0.168521983,0.145028648,0.160766423,0.252,0.131644329,0.174909675,0.134669421,0.41304564
Felidae,Acinonyx_jubatus,male,83.02418958,0.780536306,,,0.735080455,1.247837786,0.176783341,0.155391121,0.188495575,0.242863773,0.136927617,0.187876448,0.145608629,0.405695862
Felidae,Acinonyx_jubatus,male,87.58765366,0.769565217,1.2352411,1.824695809,0.769070062,,0.182621441,,0.18361558,,0.143561269,0.182786583,0.145888889,0.435674278
Felidae,Acinonyx_jubatus,male,81.5975519,0.835079978,1.256466038,1.86463621,0.744474273,1.223695382,0.195207373,0.151720985,0.184492689,0.23733234,0.137649174,0.192842863,0.158300238,0.387795993
Felidae,Acinonyx_jubatus,male,81.48084196,0.737856045,1.158094812,1.626341682,0.700459236,1.309711626,0.154852686,0.155276089,0.170598592,0.246103264,0.136894694,0.169888476,0.137076923,0.387783053
Felidae,Acinonyx_jubatus,male,84.86508721,0.797315594,1.252590375,1.748100391,0.71910314,1.290984127,0.174768713,0.163460317,0.180285962,0.247387173,0.143312201,0.17871471,0.144656489,0.419811321
Felidae,Acinonyx_jubatus,male,84.36568219,0.759796076,,,0.696826712,1.222970513,0.176679504,0.152439024,0.159563067,0.24609375,0.136913498,0.17847432,0.141753731,0.409015463
Felidae,Acinonyx_jubatus,male,74.4799151,0.753371369,1.264887064,1.725102669,0.716137528,1.225127934,0.172293821,0.148438327,0.174085965,0.241628717,0.138793886,0.186402027,0.138026981,0.426927735
Felidae,Acinonyx_jubatus,male,83.47355617,0.767748595,1.252721798,1.698401668,0.734014475,1.248306705,0.178097345,0.160514632,0.192116918,0.26640087,0.138319015,0.181202144,0.156112853,0.419828869
Felidae,Acinonyx_jubatus,male,71.85486693,0.767607509,,,0.714344802,1.260268432,0.170903245,0.149659864,0.166934189,0.264774762,0.117668966,0.172991453,0.138643195,0.415386202
Felidae,Acinonyx_jubatus,male,80.75752052,0.765893228,1.328651685,1.787793667,0.693364895,1.232086683,0.180473637,0.147755076,0.177911993,0.254734049,0.139566176,0.178613861,0.136395622,0.42371476
Felidae,Acinonyx_jubatus,male,84.32814356,0.764969222,1.279053584,1.704708884,0.747832421,1.21137905,0.18803681,0.154954785,0.183086957,0.253164557,0.140553748,0.192665406,0.142537879,0.416206262
