Family,Species,Mass_male,Mass_female,Mass_mean,Polygyny,Parental_care,Diet,Locomotor_zone,Social_group_size,Foraging_group_size
Mustelidae,Gulo_gulo,14.8,10.6,12.70,polygynous,female_only,carnivorous,terrestrial,solitary,forage_alone
Ursidae,Ursus_arctos,214,139,176.50,polygynous,female_only,carnivorous,terrestrial,solitary,forage_alone
Felidae,Acinonyx_jubatus,45.6,37.2,41.40,non_polygynous,female_only,non_carnivorous,terrestrial,solitary,forage_alone
Felidae,Lynx_lynx,21.6,18.1,19.85,non_polygynous,female_only,non_carnivorous,terrestrial,solitary,forage_alone
Felidae,Lynx_rufus,12,9,10.50,non_polygynous,female_only,non_carnivorous,terrestrial,solitary,forage_alone
Felidae,Panthera_tigris,190,131,160.50,polygynous,female_only,non_carnivorous,terrestrial,solitary,forage_alone
Procyonidae,Bassariscus_astutus,1,0.9,0.95,polygynous,female_only,carnivorous,terrestrial_arboreal,solitary,forage_alone
Mustelidae,Eira_barbara,5.5,4.2,4.85,polygynous,female_only,carnivorous,terrestrial_arboreal,solitary,forage_alone
Mustelidae,Martes_foina,1.83,1.45,1.64,polygynous,female_only,carnivorous,terrestrial_arboreal,solitary,forage_alone
Nandiniidae,Nandinia_binotata,2.09,1.94,2.02,polygynous,female_only,carnivorous,terrestrial_arboreal,solitary,forage_alone
Mustelidae,Martes_americana,0.97,0.77,0.87,polygynous,female_only,non_carnivorous,terrestrial_arboreal,solitary,forage_alone
Mustelidae,Neovison_vison,1.523,0.852,1.19,polygynous,female_only,non_carnivorous,terrestrial_arboreal,solitary,forage_alone
Felidae,Panthera_pardus,53,30.5,41.75,polygynous,female_only,non_carnivorous,terrestrial_arboreal,solitary,forage_alone
Mephitidae,Mephitis_mephitis,2.6,2.2,2.40,non_polygynous,female_only,carnivorous,terrestrial,social,forage_alone
Canidae,Chrysocyon_brachyurus,26.7,24.6,25.65,non_polygynous,female_with_helpers,carnivorous,terrestrial,social,forage_alone
Canidae,Lycalopex_gymnocercus,4.63,4.21,4.42,non_polygynous,female_with_helpers,carnivorous,terrestrial,social,forage_alone
Mustelidae,Meles_meles,11.6,10.1,10.85,non_polygynous,female_with_helpers,carnivorous,terrestrial,social,forage_alone
Canidae,Nyctereutes_procyonoides,4,4,4.00,non_polygynous,female_with_helpers,carnivorous,terrestrial,social,forage_alone
Canidae,Vulpes_vulpes,6.37,5.53,5.95,non_polygynous,female_with_helpers,non_carnivorous,terrestrial,social,forage_alone
Procyonidae,Nasua_nasua,4.6,4.1,4.35,polygynous,female_with_helpers,carnivorous,terrestrial_arboreal,social,forage_alone
Canidae,Canis_aureus,6.6,5.8,6.20,non_polygynous,female_with_helpers,carnivorous,terrestrial,social,forage_in_groups
Canidae,Canis_lupus,44.5,38.6,41.55,non_polygynous,female_with_helpers,non_carnivorous,terrestrial,social,forage_in_groups
Hyaenidae,Crocuta_crocuta,62.5,68.2,65.35,non_polygynous,female_with_helpers,non_carnivorous,terrestrial,social,forage_in_groups
Canidae,Lycaon_pictus,28,24,26.00,non_polygynous,female_with_helpers,non_carnivorous,terrestrial,social,forage_in_groups
Felidae,Panthera_leo,188,126,157.00,polygynous,female_with_helpers,non_carnivorous,terrestrial,social,forage_in_groups
Mustelidae,Martes_flavigula,3.3,2.8,3.05,non_polygynous,female_with_helpers,carnivorous,terrestrial_arboreal,social,forage_in_groups
