"family" "genus" "species" "mass" "bill" "tarsus" "latitude" "altitude" "temperature"
"1" "Estrildidae" "Emblema" "pictum" 10.4 12.9 14.3 23.5 NA 15.29
"2" "Estrildidae" "Eryhtrura" "gouldiae" 13.8 11.6 14.1 16.5 NA 19.28
"3" "Estrildidae" "Erythrura" "trichroa" 14.8 10.9 17 17 NA 19.59
"4" "Estrildidae" "Heteromunia" "pectoralis" 14.6 13.3 15.1 18 NA 19.03
"5" "Estrildidae" "Lonchura" "castaneothorax" 13.6 12.4 15.5 22 NA 17.51
"6" "Estrildidae" "Lonchura" "flaviprymna" 11.8 13.1 15.4 15 NA 20.15
"7" "Estrildidae" "Lonchura" "punctulata" 13.6 12.3 15.8 22.5 NA 15.8
"8" "Estrildidae" "Neochmia" "modesta" 12.3 10.4 14.7 26.5 NA 11.82
"9" "Estrildidae" "Neochmia" "phaeton" 10 12 14.9 16.5 NA 19.53
"10" "Estrildidae" "Neochmia" "ruficauda" 11.7 11.6 15.2 19.5 NA 17.73
"11" "Estrildidae" "Neochmia" "temporalis" 11.4 10.7 14.8 26 NA 13.71
"12" "Estrildidae" "Poephila" "acuticauda" 14 12.1 15.1 16.5 NA 19.64
"13" "Estrildidae" "Poephila" "cincta" 14.9 12 15.3 18 NA 17.11
"14" "Estrildidae" "Poephila" "personata" 13 11.9 15.3 16.5 NA 19.27
"15" "Estrildidae" "Stagonopleura" "bella" 14 12.3 16.6 39 NA 8.52
"16" "Estrildidae" "Stagonopleura" "guttata" 17.6 11.8 16.2 33 NA 11.19
"17" "Estrildidae" "Stagonopleura" "oculata" 12.9 13.2 17.7 34 NA 9.81
"18" "Estrildidae" "Taeniopygia" "bichenovii" 9.6 10.4 13.6 26.5 NA 16.09
"19" "Estrildidae" "Taeniopygia" "guttata" 12.2 10.1 14.3 24.5 NA 13.05
"20" "Galliformes" "Bonasa" "umbellus" 498 15.4 43.3 57.75 NA -10.5
"21" "Galliformes" "Callipepla" "californica" 159.4 12.4 31.9 48.79 NA 5.69
"22" "Galliformes" "Centrocercus" "urophasianus" 1693 35.1 56.4 49.3 NA -3.56
"23" "Galliformes" "Colinus" "virginianus" 177.3 13.8 32.6 45.515 NA -0.22
"24" "Galliformes" "Dendragapus" "canadensis" 456 15.2 36.9 55.73 NA -7.61
"25" "Galliformes" "Dendragapus" "obscurus" 905 19.7 45.5 55.75 NA -4.73
"26" "Galliformes" "Lagopus" "lagopus" 498.3 14.1 36.4 63.5 NA -15.69
"27" "Galliformes" "Lagopus" "leucurus" 351 13.6 30.9 56.85 NA -8.18
"28" "Galliformes" "Lagopus" "mutus" 550 12.8 32.2 66.1 NA -18.37
"29" "Galliformes" "Meleagris" "gallopavo" 4300 34.8 162.6 43.415 NA 2.36
