ID,FAM_ID,FAM_ID2,SUBJ_ID,IMMGROUP,SEX,RELATION,IMM_YR,AGE,HD_LNG,HD_WDT,BIZYG,STATURE,CEPHALIC,WFI,EYECOLOR,HAIRCOL,GENERAT,USBORN,ELAPSED,BIRTH,PAGE_NUM,M_IMM_YR,M_AGE,M_HD_LNG,M_HD_WDT,M_BIZYG,M_STAT,M_CEPH,M_WFI,F_IMM_YR,F_AGE,F_HD_LNG,F_HD_WDT,F_BIZYG,F_STAT,F_CEPH,F_WFI,MID_CEPH,AGE_INT,MISS_MIY,MISSBRTH
1,1009,1009_1,4040,1,1,S,-999,8,192,154,113,123.5,80.21,73.38,2,6,1,1,13,2,1,1889,46,189,151,133,156,79.89,88.08,1890,48,192,151,136,167,78.65,90.07,79.27,8,0,0
2,1009,1009_1,4041,1,1,S,-999,7,181,145,110,113,80.11,75.86,2,5,1,1,14,2,1,1889,46,189,151,133,156,79.89,88.08,1890,48,192,151,136,167,78.65,90.07,79.27,7,0,0
3,1009,1009_1,4036,1,0,D,-999,16,180,151,127,154,83.89,84.11,2,5,1,1,5,1,1,1889,46,189,151,133,156,79.89,88.08,1890,48,192,151,136,167,78.65,90.07,79.27,16,0,0
4,1009,1009_1,4038,1,0,D,-999,15,180,147,123,156.5,81.67,83.67,2,6,1,1,6,1,1,1889,46,189,151,133,156,79.89,88.08,1890,48,192,151,136,167,78.65,90.07,79.27,15,0,0
5,1009,1009_1,4037,1,0,D,-999,14,184,149,124,152,80.98,83.22,2,6,1,1,7,1,1,1889,46,189,151,133,156,79.89,88.08,1890,48,192,151,136,167,78.65,90.07,79.27,14,0,0
6,1009,1009_1,4039,1,0,D,-999,11,186,144,116,139.5,77.42,80.56,2,3,1,1,10,2,1,1889,46,189,151,133,156,79.89,88.08,1890,48,192,151,136,167,78.65,90.07,79.27,11,0,0
7,1009,1009_1,4042,1,0,D,-999,5,179,140,119,97.5,78.21,85,2,3,1,1,16,2,1,1889,46,189,151,133,156,79.89,88.08,1890,48,192,151,136,167,78.65,90.07,79.27,5,0,0
8,1027,1027_1,4111,1,1,S,1895,26,193,145,138,163,75.13,95.17,2,1,1,0,.,0,1,1895,47,178,144,134,148,80.9,93.06,1895,57,195,151,142,166.5,77.44,94.04,79.17,26,0,0
9,1027,1027_1,4108,1,1,S,-999,5,179,142,111,105,79.33,78.17,2,6,1,1,10,2,1,1895,47,178,144,134,148,80.9,93.06,1895,57,195,151,142,166.5,77.44,94.04,79.17,5,0,0
10,1027,1027_1,4115,1,0,D,1895,28,177,146,136,156,82.49,93.15,2,1,1,0,.,0,1,1895,47,178,144,134,148,80.9,93.06,1895,57,195,151,142,166.5,77.44,94.04,79.17,28,0,0
11,1027,1027_1,4114,1,0,D,1895,19,178,142,133,160,79.78,93.66,2,1,1,0,.,0,1,1895,47,178,144,134,148,80.9,93.06,1895,57,195,151,142,166.5,77.44,94.04,79.17,19,0,0
12,1027,1027_1,4116,1,0,D,1895,16,181,143,124,140,79.01,86.71,2,3,1,0,.,0,1,1895,47,178,144,134,148,80.9,93.06,1895,57,195,151,142,166.5,77.44,94.04,79.17,16,0,0
13,1027,1027_1,4109,1,0,D,-999,7,172,144,110,112,83.72,76.39,2,10,1,1,8,1,1,1895,47,178,144,134,148,80.9,93.06,1895,57,195,151,142,166.5,77.44,94.04,79.17,7,0,0
14,1087,1087_1,4353,1,1,S,1902,8,178,142,112,110,79.78,78.87,2,2,1,0,.,0,1,1891,31,183,151,128,156,82.51,84.77,1892,42,194,154,143,164,79.38,92.86,80.95,8,0,0
