ID,FAM_ID,FAM_ID2,SUBJ_ID,IMMGROUP,SEX,RELATION,IMM_YR,AGE,HD_LNG,HD_WDT,BIZYG,STATURE,CEPHALIC,WFI,EYECOLOR,HAIRCOL,GENERAT,USBORN,PAGE_NUM
1,1009,1009_1,4043,1,1,F,1890,48,192,151,136,167,78.65,90.07,1,0,0,0,1
2,1009,1009_1,4044,1,0,M,1889,46,189,151,133,156,79.89,88.08,2,2,0,0,1
3,1009,1009_1,4040,1,1,S,-999,8,192,154,113,123.5,80.21,73.38,2,6,1,1,1
4,1009,1009_1,4041,1,1,S,-999,7,181,145,110,113,80.11,75.86,2,5,1,1,1
5,1009,1009_1,4036,1,0,D,-999,16,180,151,127,154,83.89,84.11,2,5,1,1,1
6,1009,1009_1,4038,1,0,D,-999,15,180,147,123,156.5,81.67,83.67,2,6,1,1,1
7,1009,1009_1,4037,1,0,D,-999,14,184,149,124,152,80.98,83.22,2,6,1,1,1
8,1009,1009_1,4039,1,0,D,-999,11,186,144,116,139.5,77.42,80.56,2,3,1,1,1
9,1009,1009_1,4042,1,0,D,-999,5,179,140,119,97.5,78.21,85,2,3,1,1,1
10,1027,1027_1,4113,1,1,F,1895,57,195,151,142,166.5,77.44,94.04,2,0,0,0,1
11,1027,1027_1,4112,1,0,M,1895,47,178,144,134,148,80.9,93.06,2,0,0,0,1
12,1027,1027_1,4111,1,1,S,1895,26,193,145,138,163,75.13,95.17,2,1,1,0,1
13,1027,1027_1,4108,1,1,S,-999,5,179,142,111,105,79.33,78.17,2,6,1,1,1
14,1027,1027_1,4115,1,0,D,1895,28,177,146,136,156,82.49,93.15,2,1,1,0,1
15,1027,1027_1,4114,1,0,D,1895,19,178,142,133,160,79.78,93.66,2,1,1,0,1
16,1027,1027_1,4116,1,0,D,1895,16,181,143,124,140,79.01,86.71,2,3,1,0,1
17,1027,1027_1,4109,1,0,D,-999,7,172,144,110,112,83.72,76.39,2,10,1,1,1
18,1087,1087_1,4349,1,1,F,1892,42,194,154,143,164,79.38,92.86,2,2,0,0,1
19,1087,1087_1,4350,1,0,M,1891,31,183,151,128,156,82.51,84.77,2,2,0,0,1
20,1087,1087_1,4353,1,1,S,1902,8,178,142,112,110,79.78,78.87,2,2,1,0,1
21,1087,1087_1,4352,1,1,S,-999,6,174,145,110,101,83.33,75.86,2,3,1,1,1
22,1087,1087_1,4351,1,1,S,-999,4,163,137,106,90,84.05,77.37,2,4,1,1,1
23,1087,1087_1,4348,1,0,D,-999,12.5,178,146,123,129,82.02,84.25,2,2,1,1,1
24,1087,1087_1,4355,1,0,D,-999,11,181,145,124,128,80.11,85.52,2,4,1,1,1
25,1087,1087_1,354,1,0,D,-999,10,179,144,122,121,80.45,84.72,2,4,1,1,1
26,430,430_1,2393,1,1,F,1889,46,198,146,138,162,73.74,94.52,5,2,0,0,1
27,430,430_1,2392,1,0,M,1891,47,190,144,130,146,75.79,90.28,2,0,0,0,1
28,430,430_1,2390,1,0,D,-999,17,184,142,122,148,77.17,85.92,2,4,1,1,1
29,430,430_1,2389,1,0,D,-999,12,183,139,110,132,75.96,79.14,5,5,1,1,1
