expend,travel,group
262.7793705,76.82239383,female
286.0894025,47.41273808,female
317.5295873,98.66047403,female
349.4690474,109.607998,female
432.6777904,62.65557047,female
312.2664153,49.11730747,female
287.4279642,81.39439255,female
252.0933582,67.29890792,female
420.0497991,118.0323552,female
335.5910083,69.21519995,female
338.8400653,83.79478725,female
291.7319466,70.56004318,female
244.5451543,55.13453582,female
288.4601927,73.77584599,female
342.3774745,33.90082742,female
343.0755368,99.31109723,female
272.1099911,73.06506676,female
485.2798229,113.4522334,female
370.6427571,79.51019058,female
307.8189842,55.80107138,female
405.6923113,82.21452707,female
358.4686918,51.31804737,female
275.1970126,44.927332,female
455.0912791,75.82892471,female
313.6663517,61.13416254,female
266.3029013,70.02210703,female
332.138553,71.48682648,female
333.1388933,58.20958108,female
438.6822016,58.62662534,female
339.410653,67.2964277,female
464.8021152,73.56173993,pregnant
370.5531832,19.52866399,pregnant
410.6486126,61.87892375,pregnant
419.0874579,56.65900742,pregnant
478.4594762,71.26199675,pregnant
508.6576523,43.91632153,pregnant
473.1200922,57.4003762,pregnant
479.5728897,55.34197582,pregnant
337.3708281,39.14959938,pregnant
491.8914737,74.15735612,pregnant
452.5063056,73.20805231,pregnant
356.6428398,64.00427299,pregnant
478.2219735,81.73666909,pregnant
418.5244304,61.16972851,pregnant
453.8145604,24.46815583,pregnant
359.8642647,38.53469172,pregnant
360.3740969,25.5077477,pregnant
354.3595092,40.53198727,pregnant
388.135635,37.59266646,pregnant
433.6534858,50.84231746,pregnant
353.1395501,31.78156703,pregnant
457.9693777,53.16057545,pregnant
335.7312446,36.90830712,pregnant
404.2829611,85.34574539,pregnant
502.4755722,64.33414952,pregnant
384.4619825,68.20348459,pregnant
442.7033696,57.68370716,pregnant
435.5005995,83.64352161,pregnant
417.0766806,37.28527092,pregnant
485.4025461,40.76710539,pregnant
386.1782197,78.64564477,male
254.892772,36.98607293,male
164.7127506,45.85238513,male
400.7053447,42.14384141,male
310.4134296,43.60014263,male
304.8214406,44.41773394,male
290.2312255,59.88376663,male
304.9908029,46.45339035,male
265.6799316,39.88085076,male
326.3663922,76.8607765,male
258.8398129,45.70841183,male
210.9371451,46.4088694,male
330.1886708,47.99618518,male
370.6025785,64.25332614,male
265.8123767,48.52871192,male
219.1957313,49.24731657,male
303.0238371,36.36679042,male
274.7519485,43.51459456,male
196.8618071,51.20320881,male
272.5953867,38.22211027,male
260.0204186,60.62992385,male
239.6388716,19.63211836,male
229.8828655,56.13115722,male
346.5374484,19.27100353,male
260.826804,43.98047746,male
193.243571,39.43440191,male
281.2740607,36.95810439,male
294.6915371,48.86206444,male
200.6645547,11.71281149,male
158.0558827,73.53166624,male
