nest,sMale,sKipp,cMale,cKipp,sFlankL,sFlankA,sFlankB,sWingL,sWingA,sWingB,cFlankL,cFlankA,cFlankB,cWingL,cWingA,cWingB
FT1136,230104868,43.3,230104867,43.1,,,,,,,73.31,15.61,33.12,44.02,38.09,39.9
FT1214,253192349,28.5,175198232,49.5,70.28,11.39,26.46,48.8,31.23,38.57,74.36,14.92,35.33,42.49,41,42.82
FT1338,253192078,47.5,253192079,42.9,75.45,14.5,32.84,47.11,34.96,41.76,69.45,19.15,36.67,43.24,37.05,41.59
FT1355,175198266,47.5,175198264,39,66.61,14.45,31.2,42.13,38.04,39.93,72.54,9.13,26.33,55.99,19.19,34.93
FT1368,175198110,46,253192349,47,73.83,16.15,32.86,46.97,35.85,41.64,70.28,11.39,26.46,48.8,31.23,38.57
FT1380,175198158,45.5,175198286,43.5,68.64,16.79,36.85,46.08,34.66,39.84,73.76,10.1,35.19,55.79,19.85,38.53
FT1380,175198158,45.5,175198287,42.5,68.64,16.79,36.85,46.08,34.66,39.84,70.26,13.33,36.05,54.57,23.42,36.52
FT1383,253192349,47,175198232,49.5,70.28,11.39,26.46,48.8,31.23,38.57,74.36,14.92,35.33,42.49,41,42.82
FT1386,175198235,44.5,230104629,49,72.59,15.2,33.27,47.98,36,43.09,70.5,16.47,30.56,41.31,39.81,42.05
FT1426,253192475,44.5,264163013,44,70.63,20.71,39.09,43.57,36.63,37.89,71.86,17.24,36.91,47.21,32.88,37
FT1429,230104799,46,175198286,43.5,72.08,17.81,33.9,47.62,31.59,34.32,73.76,10.1,35.19,55.79,19.85,38.53
FT1444,253192485,44,253192360,49.5,79.24,9.76,22.29,41.78,38.63,40.49,74.05,8.66,24.4,44.36,37.89,43.31
FT1445,253192360,49.5,253192496,48,74.05,8.66,24.4,44.36,37.89,43.31,74.58,14.3,32.68,43.66,40.34,41.61
FT1454,253192496,48,230104867,43.3,74.58,14.3,32.68,43.66,40.34,41.61,73.31,15.61,33.12,44.02,38.09,39.9
WM1325,233143023,49,253192096,44,65.44,13.98,28.52,46.57,33.06,37.58,69.96,11.52,26.89,40.78,36.63,37.53
WM1328,253192010,40,175198112,42,71.1,3.62,25.56,56.65,27.75,48.22,74.36,9.6,29.02,53.58,24.14,43.22
WM1342,253192049,46,253192464,46.5,72.7,17.29,33.72,55.28,22.22,27.68,73,14.52,31.07,44.77,38.07,42.37
WM1347,253192048,52.5,253192177,43.3,71.89,14.46,30.98,47.39,34.42,38.21,68.93,12.05,28.22,38.45,35.13,35.37
WM1350,230104790,42,175198291,41,72.96,18.07,35.77,45.74,38.3,42.91,71.83,3.94,22.43,59.92,18.08,38.35
WM1353,253192177,43.3,253192197,42.5,68.93,12.05,28.22,38.45,35.13,35.37,73.96,6.41,30.68,58.25,8.37,23.55
WM1363,175198124,45.5,175198125,45,74.9,9.44,24.62,45.61,29.07,36.9,68.44,12.95,32.76
WM1364,253192013,45,233143023,49,81.84,4.99,22.47,46.25,36.63,43.71,65.44,13.98,28.52,46.57,33.06,37.58
WM1364,253192013,45,253192198,41,81.84,4.99,22.47,46.25,36.63,43.71,65.62,4.51,27.9,55.7,20.94,34.25
WM1366,175198127,47.5,175198277,44,72.65,9.31,23.6,47.48,29.39,34.08,74.21,16.45,33.97,42.32,39.87,43.4
WM1366,175198127,47.5,175198125,45,72.65,9.31,23.6,47.48,29.39,34.08,68.44,12.95,32.76
WM1401,175198168,42.5,175198226,50,69.75,14.14,35.92,55.49,25.32,41.42,65.58,10.5,27.62,46.34,25.31,33.44
WM1401,175198168,42.5,175198126,50,69.75,14.14,35.92,55.49,25.32,41.42,70.18,10.15,27.13,47.15,30.3,38.86
WM1401,175198168,42.5,253192013,45,69.75,14.14,35.92,55.49,25.32,41.42,81.84,4.99,22.47,46.25,36.63,43.71
WM1402,253192013,45,253192198,41,81.84,4.99,22.47,46.25,36.63,43.71,65.62,4.51,27.9,55.7,20.94,34.25
WM1405,175198189,45,253192177,43,70.3,20.56,37.48,47.78,35.79,39.04,68.93,12.05,28.22,38.45,35.13,35.37
WM1411,230104812,46.5,230104790,42.8,71.05,9.31,23.3,48.15,27.63,33.66,72.96,18.07,35.77,45.74,38.3,42.91
WM1417,253192458,43.5,175198195,49,74.86,8.17,30.47,54.28,21.5,41.68,72.25,16.22,32.02,40.43,43.32,42.96
WM1422,253192451,49.5,253192464,46.5,71.05,14.88,28.12,47.24,31.72,39.22,73,14.52,31.07,44.77,38.07,42.37
WM1423,253192066,45.5,175198190,41.5,66.52,17.05,37.59,46.67,28.49,30.99,76.85,9.83,33.17,61.92,11.24,20.5
WM1431,253192464,46.5,253192417,46,73,14.52,31.07,44.77,38.07,42.37,70.46,14.08,28.31,43.66,38.97,44.41
WM1431,253192464,46.5,253192049,46,73,14.52,31.07,44.77,38.07,42.37,72.7,17.29,33.72,55.28,22.22,27.68
WM1448,230104790,43,230104812,46.5,72.96,18.07,35.77,45.74,38.3,42.91,71.05,9.31,23.3,48.15,27.63,33.66
WM1448,230104790,43.4,253192066,45.5,72.96,18.07,35.77,45.74,38.3,42.91,66.52,17.05,37.59,46.67,28.49,30.99
WM1451,175198189,38,253192177,43.3,70.3,20.56,37.48,47.78,35.79,39.04,68.93,12.05,28.22,38.45,35.13,35.37
WM1460,175198127,48,253192010,40,72.65,9.31,23.6,47.48,29.39,34.08,71.1,3.62,25.56,56.65,27.75,48.22
WM1460,175198127,48,253192177,43,72.65,9.31,23.6,47.48,29.39,34.08,68.93,12.05,28.22,38.45,35.13,35.37
WM1461,253192409,47.5,253192096,44,75.69,9.88,26.82,46.2,36.53,40.04,69.96,11.52,26.89,40.78,36.63,37.53
WM1461,253192409,47.5,253192411,48.5,75.69,9.88,26.82,46.2,36.53,40.04,75.55,11.54,27.04,48.5,31.39,32.97
WM1464,264163083,42.9,253192444,46.5,74.72,13.64,35.31,41.21,37.98,39.45,75.34,11.11,40.71,60.7,11.48,27.02
