Year,NestID,social,EPP,condition,mass,tarsus,wing,Kipp,notch,tail,asym,functional,ornament,FlankL,FlankA,FlankB,WingL,WingA,WingB
2012,1,ID230104832,n,0.32,38.8,19.2,113,41,9.7,164,9,72.3,76.1,73.51,12.74,31.55,49.52,22.58,28.49
2012,2,ID253192333,y,-0.35,33.3,18.7,116.5,41.5,12.2,161,2,70.8,89.7,72.86,15.4,35.26,48.22,32.75,40.86
2012,3,ID253192153,y,3.72,31.6,19.4,110.5,38.5,11.4,158,3,67.7,85.3,66.85,8.78,27.54,53.32,23.99,38.47
2012,4,ID230104832,y,0.32,38.8,19.2,113,41,9.7,164,9,72.3,76.1,73.51,12.74,31.55,49.52,22.58,28.49
2012,5,ID253192146,y,1.6,35.1,19.4,110.5,36,10.9,142,7,66.7,74.3,76.5,9.01,26.61,46.96,35.42,46.94
2013,6,ID253192176,y,1.65,39.1,18.5,113,36.1,12.1,165,12,69.2,76.1,73.19,8.2,36.52,53.63,19.63,22.22
2013,7,ID230104832,y,0.32,38.8,19.2,113,41,9.7,164,9,72.3,76.1,73.51,12.74,31.55,49.52,22.58,28.49
2013,8,ID253192333,y,-0.35,33.3,18.7,116.5,41.5,12.2,161,2,70.8,89.7,72.86,15.4,35.26,48.22,32.75,40.86
2013,9,ID175198233,n,-4.31,39,19.7,114.5,41,11.7,163,2,67.3,95.2,69.04,12.24,29.18,46.46,30.96,39.64
2013,10,ID175198234,n,-2.23,36.4,19.2,114,39.5,11.5,111,11,64.7,42.8,77.67,2.39,35.56,62.42,9.21,32.66
2013,11,ID253192153,y,3.72,31.6,19.4,110.5,38.5,11.4,158,3,67.7,85.3,66.85,8.78,27.54,53.32,23.99,38.47
2013,12,ID253192077,y,2.2,31.5,18.5,110,36,8.9,116,12,64.2,76.1,75.19,4.73,25.36,62.75,8.21,27.39
2013,13,ID253192018,y,-13.54,36.4,18.5,108.5,38.5,7.6,119,2,65,53.5,80.87,4.08,26.06,55.81,22.57,39.9
2013,14,ID253192091,n,-0.41,34.5,18.8,101,32,7.6,114,1,64.5,49.5,73.5,3.18,22.8,58.04,16.32,39.92
2013,15,ID175198262,n,-1.54,34.2,19.3,113,37.5,9,132,7,68.8,62.2,75.95,6.27,30.59,55.36,21.78,40.04
2013,16,ID175198109,y,-1.1,34.9,19.2,110.5,33,9.7,116,1,67.3,48.7,77.53,4.1,27.86,59.49,17.4,37.89
2013,17,ID175198284,y,-3.86,34.6,18.4,113,38.5,8.5,158,7,69.3,87.7,64.74,6.78,21.26,51.41,27,37.96
2013,18,ID175198284,y,-3.86,34.6,18.4,113,38.5,8.5,158,7,69.3,87.7,64.74,6.78,21.26,51.41,27,37.96
2013,19,ID230104832,y,0.32,38.8,19.2,113,41,9.7,164,9,72.3,76.1,73.51,12.74,31.55,49.52,22.58,28.49
2013,20,ID175198236,y,3.51,39.6,18.1,106.5,36.5,9.1,119,4,64.3,48.2,72.72,3.61,24.59,56.32,21.15,30
2013,21,ID175198136,y,-3.26,30.7,18.1,111,34.5,9.7,155,12,69.2,76.1,73.3,6.67,23.72,50.66,27,49.23
2014,22,ID253192476,y,1.42,35.5,18.8,110,33,9.5,138,1,66,72,69.3,7.94,30.19,57.9,15.24,29.26
2014,23,ID253192479,y,-0.5,32.9,18,109,34.5,8,122,2,65.3,56.2,79.4,6.81,33.58,59.22,22.94,47.55
2014,24,ID253192486,y,5.09,33.3,17.7,113,36.5,12,159,7,73.7,84.3,70.32,11.29,33.46,43.46,34.81,43.75
2014,25,ID264163022,y,-2.35,33.7,18.3,111.5,34.5,6.7,120,1,68.8,51.2,78.5,1.67,26.71,59.99,14.76,34.19
2014,26,ID253192333,y,-0.35,33.3,18.7,116.5,41.5,12.2,161,2,70.8,89.7,72.86,15.4,35.26,48.22,32.75,40.86
2014,27,ID253192091,y,-1.81,35,18.8,109,35,9.3,146,2,67.3,78.2,69.37,10.42,33.04,48.2,30.71,41.36
2014,28,ID253192497,y,4.5,35.8,19.1,108,34,77.8,154,12,69.2,76.1,75.61,6.79,28.99,53.35,29,43.74
2014,29,ID264163012,y,7.15,36.3,19.4,109.5,33,7.4,118,7,68.3,48.7,74.59,7.97,30.54,59.17,16.98,36.63
2014,30,ID264163072,y,-0.28,37,18.7,111.5,36.5,8.5,128,12,69.3,76.1,79.91,7.81,27.54,59.65,13.2,30.52
2011,31,ID230104816,y,1.96,36.5,18.7,113.5,38.5,11,159,1,69.7,89.3,75.89,11.83,28.78,51.14,29,39
2012,32,ID230104816,y,1.96,36.5,18.7,113.5,38.5,11,159,1,69.7,89.3,75.89,11.83,28.78,51.14,29,39
2013,33,ID230104816,n,1.96,36.5,18.7,113.5,38.5,11,159,1,69.7,89.3,75.89,11.83,28.78,51.14,29,39
2013,34,ID175198224,y,-3.23,33,17.2,112,45,11.1,168,5,71.8,88.2,68.92,10.73,36.35,53.69,22.68,40.24
2013,35,ID253192180,y,1,35.7,17.9,113.5,36.1,11.5,141,2,68,72.5,79.81,2.18,16.69,56.72,19.73,37.48
2013,36,ID253192196,y,0.73,37.5,18.2,112,43,12.2,159,2,68,90.5,74.02,5.65,19.46,60.9,12.33,24.8
2013,37,ID253192011,y,1.27,34.3,18.4,107.5,36.5,9.9,108,2,62.7,44.8,74,6.06,25.23,61.04,16.06,35.01
2013,38,ID253192200,y,-1.73,36,19.1,113,39,10.5,164,9,70,76.1,67.61,12.82,33.55,48.84,30.59,39.89
2013,39,ID175198254,n,-2.85,35.4,18.4,108.5,34.5,8.7,109,1,67,42,73.81,8.55,34.67,59.63,12.06,29.09
2013,40,ID253192050,y,4.82,36.8,19.5,116.5,41.5,8.1,127,12,69.5,76.1,79.22,1.33,28.81,62.25,14.22,33.98
2013,41,ID175198278,y,-1.58,35.7,19,110.5,34,10.5,161,6,71.2,80.8,73.27,12.59,28.12,51.17,26.07,36.71
2013,42,ID175198292,y,-1.55,35.9,18.5,110.5,38.5,12.3,152,12,68.5,76.1,73.11,6.97,22.97,50.96,20.87,30.81
2013,43,ID230104816,y,1.96,36.5,18.7,113.5,38.5,11,159,1,69.7,89.3,75.89,11.83,28.78,51.14,29,39
2013,44,ID253192095,y,1.74,35,19,112,42,9.1,124,12,67.3,76.1,72.71,3.48,17.78,58.31,19.18,36.34
2013,45,ID175198224,y,-3.23,33,17.2,112,45,11.1,168,5,71.8,88.2,68.92,10.73,36.35,53.69,22.68,40.24
2013,46,ID253192050,n,4.82,36.8,19.5,116.5,41.5,8.1,127,12,69.5,76.1,79.22,1.33,28.81,62.25,14.22,33.98
2013,47,ID175198111,n,-3.26,37.4,18.6,115,40.5,9.2,170,1,70,100,72.53,10.03,26.29,51.9,26.87,43.39
2013,48,ID175198166,y,-4.31,33.8,18.7,105,33,9.4,175,10,74,98.5,77.14,7.33,24.58,48.25,30.64,43.67
2013,49,ID253192040,y,2.14,34.3,19,111,40.5,11.3,148,2,64.8,82.7,70.07,12.7,30,50.53,26.27,37.63
2013,50,ID253192180,y,1,35.7,17.9,113.5,36.1,11.5,141,2,68,72.5,79.81,2.18,16.69,56.72,19.73,37.48
2014,51,ID253192012,y,6.83,35.9,19.1,112.5,36,11.7,160,2,71.7,87.8,75.86,8.02,28.08,46.45,26.04,39.09
2014,52,ID253192040,y,-4.86,33.6,19,110.5,38.5,10.1,146,10,65.2,78.3,71.91,2.26,21.77,50.69,27.06,46.26
2014,53,ID175198292,y,-1.55,35.9,18.5,110.5,38.5,12.3,152,12,68.5,76.1,73.11,6.97,22.97,50.96,20.87,30.81
2014,54,ID175198188,n,-10.95,34.5,18.9,111.5,35.5,8.9,149,12,68,76.1,77.43,7.95,42.07,49.25,33.82,45.35
2014,55,ID175198224,n,-3.23,33,17.2,112,45,11.1,168,5,71.8,88.2,68.92,10.73,36.35,53.69,22.68,40.24
2014,56,ID175198111,y,-0.09,35.7,18.7,115.5,39,9.5,172,8,70.5,100,72.63,12.08,33.57,53.93,26.89,46.39
2014,57,ID175198166,n,-4.31,33.8,18.7,105,33,9.4,175,10,74,98.5,77.14,7.33,24.58,48.25,30.64,43.67
