year,nest,social,EPP,condition,mass,tarsus,wing,notch,tail,asym,functional,ornament
2013,FT1368,ID175198109,y,-1.1,34.9,19.2,110.5,9.7,116,0,67.3,48.7
2013,WM1362,ID175198111,n,-3.26,37.4,18.55,115,9.2,170,0,70,100
2014,WM1411,ID175198111,y,-0.09,35.7,18.73,115.5,9.5,172,3,70.5,100
2013,FT1386,ID175198136,y,-3.26,30.7,18.1,111,9.7,155,,69.2,76.1
2013,WM1363,ID175198166,y,-4.31,33.8,18.7,105,9.4,175,5,74,98.5
2014,WM1416,ID175198166,n,-4.31,33.8,18.7,105,9.4,175,5,74,98.5
2014,WM1446,ID175198166,y,-4.31,33.8,18.7,105,9.4,175,5,74,98.5
2014,WM1406,ID175198188,n,-10.95,34.5,18.9,111.5,8.9,149,,68,76.1
2014,WM1460,ID175198188,y,-10.95,34.5,18.9,111.5,8.9,149,,68,76.1
2013,WM1306,ID175198224,y,-3.23,33,17.2,112,11.1,168,14,71.8,88.2
2013,WM1357,ID175198224,y,-3.23,33,17.2,112,11.1,168,14,71.8,88.2
2014,WM1408,ID175198224,n,-3.23,33,17.2,112,11.1,168,14,71.8,88.2
2014,WM1461,ID175198224,y,-3.23,33,17.2,112,11.1,168,14,71.8,88.2
2013,FT1324,ID175198233,n,-4.31,39,19.7,114.5,11.7,163,1,67.3,95.2
2013,FT1333,ID175198234,n,-2.23,36.4,19.2,114,11.5,111,7,64.7,72.8
2013,FT1383,ID175198236,y,3.51,39.6,18.1,106.5,9.1,119,11,64.3,48.2
2013,WM1337,ID175198254,n,-2.85,35.4,18.4,108.5,8.7,109,0,67,42
2013,FT1348,ID175198262,n,-1.54,34.2,19.3,113,9,132,2,68.8,62.2
2013,WM1344,ID175198278,y,-1.58,35.7,19,110.5,10.5,161,16,71.2,80.8
2013,FT1374,ID175198284,y,-3.86,34.6,18.4,113,8.5,158,2,69.3,87.7
2013,FT1377,ID175198284,y,-3.86,34.6,18.4,113,8.5,158,2,69.3,87.7
2013,WM1347,ID175198292,y,-1.55,35.9,18.5,110.5,12.3,152,,68.5,76.1
