nest,bird,sex,class,navigate,collide,hits,condition,wing,Kipp,notch,functional,ornament,tail,asym
WM1363,175198124,Male,LTMale,1,1,3,-1.33008521,120.5,45.5,18.5,78.3,145.7,224,0
WM1406,175198127,Male,LTMale,1,0,1,2.304785936,123,48,20.8,73.7,128.3,202,0
WM1423,175198155,Male,STMale,1,1,3,-3.326591336,119,42,18.8,72.2,64.8,137,0
WM1401,175198168,Male,STMale,1,0,0,0.152445422,119.5,42.5,17.4,72.2,70.8,143,2
WM1418,175198195,Male,LTMale,1,1,2,3.659433169,124,49,21.9,75.7,179.3,255,4
WM1423,175198196,Male,STMale,0,,,-8.489413472,111,38,14.4,70.5,74.5,145,1
WM1418,175198197,Male,STMale,0,1,3,1.59549147,123,43.5,17.1,70.7,81.3,152,0
FT1348,175198261,Male,LTMale,1,1,3,-3.631272365,116,43.5,16.3,72.7,127.3,200,6.2
FT1348,175198262,Female,Female,0,0,1,-1.538574583,113,37.5,9,68.8,62.2,132,2
FT1355,175198263,Female,Female,0,0,1,1.003023479,114.5,40.5,10.7,69.8,99.2,169,5
FT1355,175198264,Male,STMale,0,0,1,-5.755661889,116.5,39,14.9,73.3,76.7,150,1
FT1355,175198265,Male,STMale,1,0,1,-7.181238569,115.5,40,15.5,72.2,69.8,142,2
FT1355,175198266,Male,LTMale,1,1,1,3.244338111,125.5,47.5,19.7,78.2,149.8,228,18
FT1377,175198284,Female,Female,0,1,3,-3.858041896,113,38.5,8.5,69.3,87.7,158,2
FT1377,175198285,Male,STMale,1,1,3,-3.134766238,116,43,13.3,61.2,71.8,133,6.2
FT1377,175198286,Male,STMale,1,1,3,-2.759155763,119,43.5,17.6,71.8,79.2,151,2
FT1377,175198287,Male,STMale,0,1,3,-3.347554578,116,42.5,17.2,70.5,68.5,139,1
FT1377,175198288,Male,STMale,0,1,1,-0.613802996,121.5,46.5,18.9,75.2,186.7,166,6.2
FT1456,175198288,Male,LTMale,1,1,2,2.893184751,126,49,21.3,79.3,186.7,266,2
FT1377,175198290,Male,STMale,1,0,1,-4.485919598,115.5,40,17.4,65.7,69.3,135,1
FT1239,230104869,Male,LTMale,1,0,1,-5.833579083,116,47,19.2,72.2,141.8,214,10
FT1239,230104900,Male,STMale,1,0,1,1.797798189,121.5,42.5,17.9,72.2,72.8,145,0
WM1459,253192040,Female,Female,1,0,1,-4.858041896,110.5,38.5,10.1,65.2,78.3,146,5
FT1364,253192054,Female,Female,1,1,2,-3.865112115,113,40.5,10.8,71.2,72.8,144,3
FT1335,253192055,Male,LTMale,1,1,4,1.226868742,121,48,23.8,79.4,153.6,233,3
FT1452,253192091,Female,Female,1,0,1,-1.809373614,109,35,9.25,67.3,78.2,146,1
FT1452,253192094,Male,LTMale,1,1,3,4.747831984,125,50,23.6,71.8,177.2,249,1
FT1335,253192153,Female,Female,1,0,1,3.723025328,110.5,38.5,11.4,67.7,85.3,158,10
WM1418,253192180,Female,Female,0,1,2,0.645493214,112.5,36.5,11.4,70.8,76.1,151,3
FT1239,253192366,Female,Female,1,0,1,1.450820088,110.5,36.8,9.6,68.8,95.2,165,2
WM1228,253192373,Male,STMale,0,,,-4.177744695,119,42.5,18.7,73.8,126.4,200.2,6.2
FT1239,253192374,Male,LTMale,1,0,0,-1.471944103,120.5,47,20.4,73.2,145.8,219,4
FT1239,253192375,Male,LTMale,1,0,1,2.446644829,123,47,20.9,72.3,171.7,244,1
FT1239,253192376,Male,LTMale,1,0,1,-2.326591336,120,47,21.2,74.5,149.5,224,13
FT1239,253192378,Male,LTMale,1,0,1,0.439657082,120,47,18.2,73.2,127.8,201,6.2
FT1239,253192379,Male,STMale,1,0,1,1.794304315,121,42.5,17.7,70.7,97.3,168,23
FT1244,253192381,Female,Female,0,1,3,1.006558589,111.5,36.8,11.6,67.3,91.7,159,3
FT1244,253192382,Male,LTMale,1,1,3,0.886197004,123,47,21.1,74.8,141.2,216,1
WM1428,253192440,Male,LTMale,1,1,2,-0.148741733,117,44,19.2,73.5,126.5,200,2
WM1427,253192441,Male,LTMale,1,0,1,2.09549147,123.5,46.5,19.9,74.3,136.7,211,1
WM1428,253192442,Female,Female,1,1,3,1.461425417,110.5,35,8.2,66,51.5,118,1
WM1427,253192443,Male,STMale,1,1,3,1.446644829,122,44,19.6,70.8,83.2,154,0
WM1427,253192444,Male,STMale,1,0,0,-0.177744695,123,46.5,19.4,74.5,81.5,156,0
WM1427,253192445,Female,Female,1,0,0,1.589754713,108.5,36,9.6,64.2,46.3,111,1
WM1428,253192446,Female,Female,1,0,0,4.048156651,111.5,37,9.5,68.2,82.3,152,3
WM1428,253192447,Male,STMale,1,0,0,-5.053355171,115.5,38,17.1,68.9,80.1,149,14
FT1456,264163012,Female,Female,0,1,4,7.145493214,109.5,33,7.4,68.3,48.7,118,2
FT1456,264163013,Male,LTMale,1,0,1,0.659433169,121,44,21.2,74.8,143.2,218,1
WM1459,264163058,Male,LTMale,1,1,6,-9.316109715,114.5,43.3,18.3,73.4,113.6,187,1
WM1459,264163059,Male,STMale,1,1,4,-1.762649637,119.5,40.5,21,69.8,82.2,152,2
WM1452,264163060,Female,Female,1,1,4,0.645493214,109.5,30.5,6.1,70,46,116,1
WM1452,264163060,Female,Female,1,1,3,0.645493214,109.5,30.5,6.1,70,46,116,1
WM1459,264163069,Female,Female,0,,,5.371159073,108,36.75,10.05,67.3,81.7,149,3
