Year,NestID,social,EPP,condition,mass,tarsus,wing,Kipp,notch,tail,asym,functional,ornament,FlankL,FlankA,FlankB,WingL,WingA,WingB
2014,63,ID264163035,y,-3.340566831,37.1,18.2,117,3,15.9,3,1,72.8,69.2,77.31,5.16,26.83,53.8,25.14,37.45
2012,1,ID230104610,n,-4.485919598,36.6,19.5,115.5,4,17.4,1,2,65.7,69.3,71.98,8.62,30.39,57.78,16.82,40.88
2014,46,ID175198168,y,0.152445422,35.7,18.7,119.5,7,17.4,4,5,72.2,70.8,69.75,14.14,35.92,55.49,25.32,41.42
2011,6,ID230104799,y,-1.333579083,38.5,18.9,120,23,16.4,5,2,73.2,71.8,72.08,17.81,33.9,47.62,31.59,34.32
2013,34,ID253192010,y,-7.968450229,40.1,18.5,114.5,4,15.2,2,1,68.7,72.3,71.1,3.62,25.56,56.65,27.75,48.22
2014,53,ID253192458,y,-3.928965646,33.7,17.9,114,8,17.8,2,8,67.7,73.3,74.86,8.17,30.47,54.28,21.5,41.68
2014,58,ID175198143,y,0.024562023,38.7,18.6,121.5,15,18,5,2,71.7,73.3,77.34,5.3,28.82,57.84,20.56,37.4
2014,27,ID264163073,y,2.02106815,38,18.7,123,12,17.4,5,11,70.9,74.1,68.99,13.2,37.04,50.7,29.07,43.68
2014,56,ID253192443,n,1.446644829,37.4,18.7,122,9,19.6,6,1,70.8,83.2,73.58,13.75,34.12,53.9,26.01,38.15
2013,33,ID233143023,y,-1.90450853,38.6,19.1,119.5,19,19.6,7,2,73.8,108.2,65.44,13.98,28.52,46.57,33.06,37.58
2014,65,ID264163056,y,-1.985919598,36.6,18.3,118,6,15.2,8,6,68.8,114.2,72.73,9.28,38.34,57.78,22.83,38.31
2013,45,ID175198127,y,1.372221509,36.8,18.8,121.5,16,19.5,9,8,72.8,118.2,72.65,9.31,23.6,47.48,29.39,34.08
2013,20,ID175198235,y,-0.705695685,35.5,18.9,118.5,10,18.5,10,9,71.2,121.8,72.59,15.2,33.27,47.98,36,43.09
2012,8,ID253192399,y,-3.627778491,36.8,18.4,116.5,5,16.1,10,14,70.3,122.7,75.77,15.47,35.06,39.87,39.2,40.54
2013,18,ID175198158,y,2.30827981,38.3,18.6,123.5,12,21.3,34,1,73.4,122.9,68.64,16.79,36.85,46.08,34.66,39.84
2013,36,ID175198255,n,2.226868742,36.3,18.5,122,16,21.1,14,14,73.4,125.1,68.94,8.97,22.62,46.7,32.17,37.79
2013,17,ID175198110,y,-0.414990151,36.5,17.5,119.5,13,20.1,39,14,74.7,125.6,73.83,16.15,32.86,46.97,35.85,41.64
2014,57,ID253192440,y,-0.148741733,32.6,17,117,9,19.2,11,5,73.5,126.5,68.07,15.25,30.13,52.25,21.83,25.54
2013,16,ID175198261,n,-3.631272365,36.1,18.6,116,8,16.3,39,14,72.7,127.6,74.93,11.62,25.56,52.56,31.42,39.36
2014,49,ID175198127,n,2.304785936,37.6,18.6,123,17,20.8,12,1,73.7,128.3,70.04,16.87,31.21,39.55,40.83,40.77
2014,64,ID175198127,y,2.304785936,37.6,18.6,123,17,20.8,12,1,73.7,128.3,70.04,16.87,31.21,39.55,40.83,40.77
2013,31,ID230104790,n,0.230362616,38.4,18.4,120.5,23,21.3,39,14,71.3,128.9,72.96,18.07,35.77,45.74,38.3,42.91
2013,38,ID175198277,y,-3.266143511,37.7,18.2,117.5,9,21,39,14,71,129.2,74.21,16.45,33.97,42.32,39.87,43.4
2013,32,ID175198223,y,1.811773683,39,19.3,123.5,20,25.3,13,4,73.8,130.2,72.25,13.51,28.18,42.26,38.24,41.99
2013,39,ID253192096,y,-4.060342918,36,17.5,115.5,9,17.2,13,2,72.2,131.8,69.96,11.52,26.89,40.78,36.63,37.53
2013,42,ID230104812,n,-2.124284617,36.5,18.5,115,4,19.9,14,3,68.5,138.5,71.05,9.31,23.3,48.15,27.63,33.66
2014,66,ID264163083,y,-3.177744695,41.1,18.6,120,23,21.5,15,14,74.8,139.2,74.72,13.64,35.31,41.21,37.98,39.45
2012,30,ID230104812,n,-4.914990151,36.3,18.6,120,1,20.5,15,14,72.3,141.7,71.05,9.31,23.3,48.15,27.63,33.66
2014,50,ID253192409,n,3.737350363,38.4,19.1,125,16,19.7,18,13,77.2,141.8,75.69,9.88,26.82,46.2,36.53,40.04
2014,51,ID230104812,y,0.226868742,37.4,18.9,119,14,20.3,16,5,72.8,142.2,75.38,7.92,28.29,43.79,31.85,35.81
2012,9,ID253192360,y,0.528055897,39.4,19,122.5,2,20.7,17,14,74.7,143.3,74.05,8.66,24.4,44.36,37.89,43.31
2014,23,ID253192360,y,1.30827981,38.3,18.9,122.5,20,21.5,19,8,75.7,145.3,74.05,8.66,24.4,44.36,37.89,43.31
2013,43,ID175198124,y,-1.33008521,39.2,19.1,120.5,12,18.5,21,1,78.3,145.7,74.9,9.44,24.62,45.61,29.07,36.9
2012,29,ID230104812,n,-1.553355171,37.5,18.8,118.5,23,18.9,16,10,68.5,146.5,71.05,9.31,23.3,48.15,27.63,33.66
2013,10,ID175198220,y,3.946644829,37.4,18.1,124.5,16,21.4,25,1,81.8,147.2,69.52,15.77,32.1,48.03,29.06,36.9
2014,21,ID253192475,y,0.240844237,39.1,19.1,122,10,19.9,23,1,78.7,148.6,70.63,20.71,39.09,43.57,36.63,37.89
2014,61,ID253192417,n,-0.124284617,37.5,17.4,120.5,13,19.4,19,1,71.8,149.2,70.46,14.08,28.31,43.66,38.97,44.41
2014,22,ID230104799,y,3.16991479,39.2,18.7,125,13,21,24,1,78,150,72.08,17.81,33.9,47.62,31.59,34.32
2014,48,ID175198189,y,-3.482425724,37.3,18.9,117,11,19.5,20,5,72.5,150.5,70.3,20.56,37.48,47.78,35.79,39.04
2014,62,ID175198189,y,-3.482425724,37.3,18.9,117,11,19.5,20,5,72.5,150.5,70.3,20.56,37.48,47.78,35.79,39.04
2013,19,ID253192349,y,-0.54287355,39.5,18,121.5,15,20.9,21,5,73.2,150.8,70.28,11.39,26.46,48.8,31.23,38.57
2014,55,ID253192066,y,-0.337072957,37.8,18.5,120.5,12,21.3,22,14,72.5,152.5,66.52,17.05,37.59,46.67,28.49,30.99
2013,14,ID253192080,n,1.446644829,37.4,18.6,122,21,20.3,23,8,73.8,153.2,71.87,13.58,28.59,44.81,36.87,40.68
2013,13,ID253192055,y,1.226868742,36.3,18.7,121,17,23.8,28,8,79.4,153.6,68.89,15.53,34.7,45.51,31.26,34.18
2014,60,ID253192411,n,3.836441194,41.08,19.6,127,18,21.4,28,2,79.3,153.7,75.55,11.54,27.04,48.5,31.39,32.97
2012,5,ID230104629,y,3.747831984,40.4,19.3,124.5,19,22.7,26,1,75.5,154.5,70.5,16.47,30.56,41.31,39.81,42.05
2013,12,ID230104629,n,3.747831984,40.4,19.3,124.5,19,22.7,26,1,75.5,154.5,70.5,16.47,30.56,41.31,39.81,42.05
2014,59,ID253192464,y,1.872221509,36.8,18.1,122,14,19.5,27,5,76,155,73,14.52,31.07,44.77,38.07,42.37
2012,3,ID230104629,y,2.744338111,39.8,18.8,125,23,23.3,29,5,74.3,159.7,70.5,16.47,30.56,41.31,39.81,42.05
2012,4,ID230104629,y,2.744338111,39.8,18.8,125,23,23.3,29,5,74.3,159.7,70.5,16.47,30.56,41.31,39.81,42.05
2012,7,ID230104867,n,4.453632577,37.5,19.6,125,23,21.9,30,8,77.4,160.6,73.31,15.61,33.12,44.02,38.09,39.9
