year,site,nest,social,EPP,class,prop,condition,conditionC,mass,tarsus,wing,notch,tail,asym,asymP,functional,ornament
2008,FTSILL,FT0808,ID233134005,y,3,1,4.45,12.42,38.8,19.9,126,19.3,195,,,73.3,124.1
2008,FTSILL,FT0810,ID233143007,y,2,0.75,2.24,10.21,38.4,20.3,123.5,19.3,260,10,10.5,73.2,125.4
2008,FTSILL,FT0812,ID233143010,n,1,0,3.58,11.55,35.1,19.7,122.5,19.3,220,0,0.5,73.2,123.7
2009,FTSILL,FT0901,ID230104615,y,2,0.8,2.1,10.07,40,18.6,124.5,19.3,245,2,2.5,81.2,163.8
2009,FTSILL,FT0905,ID233143005,y,3,1,5.11,13.08,37,18.8,129,19.3,240,6,6.5,79.2,160.8
2009,FTSILL,FT0911,ID230104610,n,1,0,2.12,10.09,43.5,19.9,127,19.3,265,0,0.5,72.5,192.5
2009,FTSILL,FT0927,ID230104645,y,2,0.6,6.47,14.44,39,19.6,127,19.3,231,9,9.5,78.2,152.8
2009,FTSILL,FT0930,ID230104629,y,2,0.5,1.82,9.79,40.5,19,126.5,19.3,234,51,51.5,72.5,161.5
2010,FTSILL,FT1002,ID233143005,n,1,0,8.73,16.7,41.4,18.9,128.5,22.1,241,5,5.5,85.8,155.5
2010,FTSILL,FT1013,ID230104629,y,2,0.83,2.74,10.71,39.8,18.8,125,23.3,234,2,2.5,74.3,159.7
2010,FTSILL,FT1014,ID230104645,y,3,1,5.31,13.28,43,19.7,131,24.8,232,10,10.5,77,155
2010,FTSILL,FT1015,ID230104677,y,3,1,2.69,10.66,42.7,18.2,127,20,240,33,33.5,73.8,166.2
2010,FTSILL,FT1020,ID230104634,y,3,1,2.81,10.78,39,18.7,124.5,19.3,257,5,5.5,73,184
2010,FTSILL,FT1022,ID230104666,n,1,0,1.45,9.42,37.4,18.3,122,19.3,,,,79.4
2010,FTSILL,FT1032,ID230104745,n,1,0,2.17,10.14,39.2,19.1,124,19.5,220,3,3.5,77.2,142.8
2010,FTSILL,FT1038,ID230104629,y,2,0.67,2.74,10.71,39.8,18.8,125,23.3,234,2,2.5,74.3,159.7
2011,FTSILL,FT1105,ID230104762,n,1,0,2.96,10.93,39.5,19.1,125,24.2,252,1,1.5,76.2,175.8
2011,FTSILL,FT1108,ID230104868,y,3,1,2.52,10.49,38,18.2,123.5,24.6,245,31,31.5,73.3,124
2011,FTSILL,FT1118,ID230104795,n,1,0,6.21,14.18,33.5,17.1,124,22,222,7,7.5,70.3,151.7
2011,FTSILL,FT1122,ID230104831,n,1,0,1.02,8.99,38,19.4,122,18.5,227,0,0.5,71,156
2011,FTSILL,FT1126,ID230104629,y,2,0.25,3.75,11.72,40.4,19.3,124.5,22.7,230,0,0.5,75.5,154.5
2011,FTSILL,FT1129,ID230104842,n,1,0,4.44,12.41,36,17.6,124,21.3,225,6,6.5,75.7,149.3
2011,FTSILL,FT1134,ID230104799,y,2,0.75,-1.33,6.64,38.5,18.9,120,16.4,145,1,1.5,73.2,71.8
2011,FTSILL,FT1136,ID230104868,y,2,0.75,2.52,10.49,38,18.2,123.5,24.6,245,31,31.5,73.3,124
2011,FTSILL,FT1137,ID230104867,n,1,0,4.45,12.42,37.5,19.6,125,21.9,238,3,3.5,77.4,160.6
2012,FTSILL,FT1203,ID253192326,y,2,0.8,5.63,13.6,32.2,18.4,122.5,19.2,211,1,1.5,76.2,134.8
2012,FTSILL,FT1204,ID230104899,n,1,0,5.73,13.7,36.3,18.1,125.5,21.1,233,2,2.5,77.7,155.3
2012,FTSILL,FT1208,ID253192239,n,1,0,3.52,11.49,37.3,18.9,124,18.9,219,1,1.5,72.5,146.5
2012,FTSILL,FT1212,ID253192339,y,3,1,0.73,8.7,37,19,121,20.3,224,4,4.5,73.3,150.7
2012,FTSILL,FT1220,ID230104897,y,2,0.2,3.66,11.63,37.8,18.8,124.5,20.7,245,3,3.5,73.8,171.2
2012,FTSILL,FT1231,ID253192332,y,2,0.75,7.21,15.18,32.8,16.9,124.5,23,243,6,6.5,75.5,167.5
2012,FTSILL,FT1237,ID253192357,y,3,1,-1.76,6.21,39.8,18.6,120.5,18.9,195,0,0.5,73.8,121.2
2012,FTSILL,FT1239,ID253192375,y,2,0.6,2.45,10.42,37.4,19.3,123,20.9,244,1,1.5,72.3,171.7
2012,FTSILL,FT1243,ID253192399,y,3,1,-3.63,4.34,36.8,18.4,116.5,16.1,193,,,70.3,122.7
2012,FTSILL,FT1244,ID253192382,y,2,0.75,0.89,8.86,39.6,18.1,123,21.1,216,1,1.5,74.8,141.2
2012,FTSILL,FT1245,ID253192152,y,2,0.75,3.87,11.84,36.8,18.5,124,21.1,220,2,2.5,74,146
2012,FTSILL,FT1246,ID253192360,y,3,1,0.53,8.5,39.4,19,122.5,20.7,218,,,74.7,143.3
2012,FTSILL,FT1250,ID230104798,y,3,1,0.73,8.7,37,19.6,121,18.3,245,5,5.5,75.2,169.8
2012,FTSILL,FT1251,ID253192388,y,2,0.83,2.65,10.62,34.3,18.3,121,17.7,218,10,10.5,79.7,138.3
2012,FTSILL,FT1252,ID253192239,n,1,0,3.52,11.49,37.3,18.9,124,18.9,219,1,1.5,72.5,146.5
2013,FTSILL,FT1320,ID175198220,y,2,0.4,3.95,11.92,37.4,18.1,124.5,21.4,229,0,0.5,81.8,147.2
