nest,sMale,sCond,sTarsus,sWing,sNotch,sTail,sAsym,cMale,cCond,cTarsus,cWing,cNotch,cTail,cAsym,sFunc,sOrn,cFunc,cOrn,sMass,cMass
FT0810,233143007,2.237350363,20.3,123.5,19.3,260,10,230104670,2.662927043,17.8,123.5,19.3,171,29,73.2,125.4,65.2,105.8,38.4,37.8
FT0901,230104615,2.102479217,18.6,124.5,19.3,245,2,230104610,2.119948586,19.9,127,19.4,265,0,81.2,163.8,72.5,192.5,40,43.5
FT0927,230104645,6.474595819,19.6,127,19.4,231,9,233143007,2.237350363,20.3,123.5,19.3,260,10,78.2,152.8,73.2,125.4,39,38.4
FT1013,230104629,2.744338111,18.8,125,23.3,234,2,230104745,2.16991479,19.1,124,19.5,220,3,74.3,159.7,77.2,142.8,39.8,39.2
FT1020,230104634,2.811773683,18.7,124.5,19.3,257,5,233143007,2.237350363,20.3,123.5,19.3,260,10,73,184,73.2,125.4,39,38.4
FT1038,230104629,2.744338111,18.8,125,23.3,234,2,230104842,4.439657082,17.6,124,21.3,225,6,74.3,159.7,75.7,149.3,39.8,36
FT1108,230104868,2.52106815,18.2,123.5,24.6,245,31,230104867,4.375715383,19.6,125,21.9,238,3,73.3,124,77.4,160.6,38,37.5
FT1136,230104868,2.52106815,18.2,123.5,24.6,245,31,230104867,4.453632577,19.6,125,21.9,238,3,73.3,124,77.4,160.6,38,37.5
FT1203,253192326,5.634976053,18.4,122.5,19.2,211,1,253192078,5.010586528,19.7,124.5,20.8,238,,76.2,134.8,76.5,161.5,32.2,35.9
FT1212,253192339,0.730362616,19,121,20.3,224,4,230104830,-1.496401219,17.5,117,21.8,209,1,73.3,150.7,74.7,134.3,37,34.5
FT1212,253192339,0.730362616,19,121,20.3,224,4,253192475,0.240844237,19.1,122,19.9,227,0,73.3,150.7,78.7,148.3,37,39.1
FT1214,253192349,-0.54287355,18.2,121.5,20.3,214,4,175198232,1.662927043,18.8,122.5,19.6,256,1,72,142,73.3,182.7,39.5,37.8
FT1231,253192332,7.209399373,16.9,124.5,23,243,6,230104867,4.453632577,19.3,126,21.8,239,2,75.5,167.5,77.2,161.8,32.8,38.8
FT1239,253192375,2.446644829,19.3,123,20.9,244,1,230104897,3.662927043,18.8,124.5,20.7,245,3,72.3,171.7,73.8,171.2,37.4,37.8
FT1244,253192382,0.886197004,18.1,123,21.1,216,1,230104629,3.747831984,19.3,124.5,22.7,230,0,74.8,141.2,75.5,154.5,39.6,40.4
FT1246,253192360,0.528055897,19,122.5,20.7,218,,253192152,3.872221509,18.5,124,21.1,220,2,74.7,143.3,74,146,39.4,36.8
FT1253,253192167,2.953632577,17.8,119,19.5,222,1,253192152,3.872221509,18.5,124,21.1,220,2,73.3,125.3,74,146,40.7,36.8
FT1253,253192167,2.953632577,17.8,119,19.5,222,1,253192168,-3.638260112,18.8,115,18.9,212,1,73.3,125.3,68.8,143.2,40.7,34.7
FT1307,253192167,2.953632577,18.2,124.5,21.3,238,0,253192152,3.872221509,18.5,124,21.1,220,2,71.3,166.7,74,146,38.8,36.8
FT1320,175198220,3.946644829,18.1,124.5,21.4,229,0,230104867,4.375715383,19.3,126,21.8,239,2,81.8,147.2,77.2,161.8,37.4,38.8
