"Species_Tree","Family","Diet","CS","Ln.CS","N.specim","Proc_c1","Proc_c2","Proc_c3","Proc_c4","Proc_c5","Proc_c6","Proc_c7","Proc_c8","Proc_c9","Proc_c10","Proc_c11","Proc_c12","Proc_c13","Proc_c14","Proc_c15","Proc_c16","Proc_c17","Proc_c20","Proc_c21","Proc_c22","Proc_c23","Proc_c26","Proc_c27","Proc_c32","Proc_c33","Proc_c34","Proc_c35","Proc_c36"
"Allocebus_trichotis","Cheirogaleidae","I",3.2739,1.186,1,-0.36698137,0.00710297,-0.35214508,0.014452977,-0.224315331,0.02748468,-0.157847731,0.022226232,-0.10148675,0.017676915,0.022657856,0.033570143,0.218248302,0.185818934,0.199937909,0.080747972,0.244158387,0.048312228,0.032265835,-0.078165259,-0.089698003,-0.086881969,-0.340434127,-0.116920417,0.255429313,-0.106280526,0.266794745,-0.082712974
"Avahi_laniger","Indriidae","FO",5.4033,1.687,10,-0.323725323,0.017310744,-0.313723071,0.026524823,-0.201918989,0.039991467,-0.131752139,0.030017538,-0.058299224,0.029016317,0.033661597,0.037925647,0.166878741,0.217505038,0.158670754,0.139581341,0.231818326,0.123203018,0.039874522,-0.185851535,-0.052212006,-0.083963044,-0.299648754,-0.230000761,0.22674711,-0.213343888,0.288132693,-0.084766268
"Cheirogaleus_major","Cheirogaleidae","FR",5.2067,1.65,4,-0.361723268,0.015121245,-0.323812733,0.027251773,-0.226721725,0.024641869,-0.162064165,0.020272081,-0.093735827,0.019912986,0.018423953,0.028828321,0.200916188,0.207381692,0.19637883,0.077690372,0.241896005,0.048061365,0.023646969,-0.101722147,-0.088728552,-0.086252446,-0.319402933,-0.127212729,0.261935956,-0.114345181,0.284206239,-0.077790012
"Cheirogaleus_medius","Cheirogaleidae","FR",3.9162,1.3651,4,-0.372981356,0.007534626,-0.338968573,0.021545864,-0.222512068,0.01822907,-0.160365592,0.014114828,-0.09742937,0.013065376,0.016511723,0.027233856,0.209070993,0.21344118,0.19758382,0.064666416,0.245475594,0.028938517,0.018073065,-0.080849755,-0.094457278,-0.086680205,-0.328723528,-0.109438369,0.267971561,-0.097940784,0.285715389,-0.073465178
"Eulemur_mongoz","Lemuridae","FR",8.7893,2.1735,3,-0.39562111,0.027965269,-0.346115582,0.035408713,-0.203604918,0.019035875,-0.135012954,0.013679044,-0.062251047,0.015370942,0.027963359,0.022944875,0.158779194,0.193256229,0.195480601,0.088267141,0.249862323,0.043944203,0.023410915,-0.092373854,-0.066344398,-0.081912313,-0.346591349,-0.121066976,0.262354609,-0.111424977,0.281435768,-0.087322689
"Hapalemur_griseus","Lemuridae","FO",7.1892,1.9726,4,-0.361408605,0.007221131,-0.343700527,0.02044151,-0.188247759,0.030285986,-0.126963931,0.031141616,-0.062998822,0.032877586,0.040597153,0.04243549,0.162586501,0.239293527,0.174454291,0.100958347,0.210203408,0.080446735,0.046971188,-0.121303289,-0.057443457,-0.08856309,-0.337488902,-0.195989253,0.241720337,-0.183379724,0.275450527,-0.130847498
"Indri_indri","Indriidae","FO",10.8249,2.3818,8,-0.342283606,0.009425952,-0.323503969,0.026175648,-0.209675174,0.03544405,-0.129865097,0.019310117,-0.05504811,0.017511743,0.026297561,0.032180673,0.179106959,0.21232523,0.171059904,0.117815675,0.226236704,0.093596327,0.022120724,-0.113852426,-0.058787319,-0.096340594,-0.314867428,-0.199893565,0.241780214,-0.180845193,0.285600349,-0.095372681
"Lemur_catta","Lemuridae","FR",8.5595,2.147,11,-0.38891064,0.007019446,-0.355167107,0.027916484,-0.196759916,0.025615704,-0.134586803,0.020308728,-0.069913251,0.018901332,0.035520668,0.024086088,0.162718828,0.180008548,0.196639786,0.087679779,0.235112711,0.067046037,0.033295104,-0.097295041,-0.070954869,-0.071342869,-0.352535965,-0.139876791,0.267597263,-0.131363952,0.289894035,-0.09012119
"Lepilemur_dorsalis","Lemuridae","FO",5.8615,1.7684,4,-0.373356868,0.016429456,-0.3595517,0.029986958,-0.206809071,0.031087435,-0.136582826,0.022098271,-0.064679828,0.018389315,0.039605076,0.030417975,0.163922123,0.210924278,0.172074113,0.092856283,0.217011316,0.029599541,0.036145637,-0.088984355,-0.068045912,-0.082862356,-0.334438717,-0.155857438,0.274455065,-0.142255764,0.293199153,-0.103296598
"Lepilemur_edwardsi","Lemuridae","FO",5.4263,1.6913,3,-0.398450145,0.028457514,-0.368773767,0.042101977,-0.208006354,0.028673546,-0.134741787,0.018782432,-0.057129841,0.014930243,0.049911213,0.027076767,0.155037868,0.188109206,0.183487237,0.07882229,0.221374547,0.030687038,0.04698556,-0.082121689,-0.085608526,-0.082610619,-0.332147456,-0.131767212,0.276296227,-0.119190673,0.29013995,-0.090305442
