code	sex	shell.h	shell.w	aperture.h	aperture.w	whorl.w	rib.n	band.u	band.m	band.l	band.u.l	band.m.l	band.l.l	locality	image	country	canton	locality	altitude	coordinates.DD	depository	date of collecting	collector
001f01 	female	7387	4003	2546	2629	3203	29	1	1	2	1	1	2	1	f037	Switzerland	Neuch‰tel	Le Landeron	596	47.06760435N 7.06510484E	NMBE 30979	05/04/2011	Fabian Reichenbach
001f02	female	7345	3846	2647	2670	3184	31	1	1	1	1	1	1	1	f043	Switzerland	Neuch‰tel	Le Landeron	596	47.06760435N 7.06510484E	NMBE 30979	05/04/2011	Fabian Reichenbach
001m01	male	7160	4175	2893	2689	3226	31	1	1	1	1	1	0	1	m038	Switzerland	Neuch‰tel	Le Landeron	596	47.06760435N 7.06510484E	NMBE 30979	05/04/2011	Fabian Reichenbach
001m02 	male	7063	4017	2754	2745	3193	31	1	1	2	2	1	2	1	m039	Switzerland	Neuch‰tel	Le Landeron	596	47.06760435N 7.06510484E	NMBE 30979	05/04/2011	Fabian Reichenbach
001m03 	male	6706	3698	2300	2397	3069	30	1	1	2	1	1	1	1	m041	Switzerland	Neuch‰tel	Le Landeron	596	47.06760435N 7.06510484E	NMBE 30979	05/04/2011	Fabian Reichenbach
001m04	male	6979	4087	2657	2629	3351	33	1	1	2	1	1	2	1	m042	Switzerland	Neuch‰tel	Le Landeron	596	47.06760435N 7.06510484E	NMBE 30979	05/04/2011	Fabian Reichenbach
002f01	female	7063	3860	2564	2522	3119	29	1	1	1	1	1	0	2	f034	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002f02 	female	7535	3846	2522	2629	3332	37	1	1	1	1	1	2	2	f064	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002f03	female	7484	3952	2680	2541	3258	34	1	1	1	1	1	1	2	f065	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002f04	female	7516	3763	2671	2703	3217	31	1	1	1	0	1	1	2	f066	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002f05	female	7211	3698	2555	2541	3133	30	1	1	1	1	1	2	2	f067	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
