family,binomial,adultbodymass,gestationlen,homerange,maxlongevity,socialgrpsize
Callitrichidae,Callimico goeldii,558,154,0.32,214.8,6.85
Callitrichidae,Callithrix argentata,369,,0.17,201.6,9.5
Callitrichidae,Callithrix aurita,388,139.99,0.08,,6
Callitrichidae,Callithrix flaviceps,375,139.99,0.22,,9.8
Callitrichidae,Callithrix geoffroyi,342,,,,
Callitrichidae,Callithrix humeralifera,375,,0.1,180,8.5
Callitrichidae,Callithrix jacchus,291,143.99,0.02,201.6,8.55
Callitrichidae,Callithrix kuhlii,375,,0.06,,
Callitrichidae,Callithrix penicillata,340,,0.01,,5.9
Callitrichidae,Callithrix pygmaea,125,134.53,2.14E-03,181.2,6
Callitrichidae,Leontopithecus caissara,605,,,,1
Callitrichidae,Leontopithecus chrysomelas,574,,0.25,,6.7
Callitrichidae,Leontopithecus chrysopygus,656,,0.84,,3.6
Callitrichidae,Leontopithecus rosalia,593,134,0.27,297.6,4.5
Callitrichidae,Saguinus bicolor,465,158.27,,,6.7
Callitrichidae,Saguinus fuscicollis,394,147.99,0.21,294,6
Callitrichidae,Saguinus geoffroyi,493,,0.17,,6.9
Callitrichidae,Saguinus imperator,410,,0.22,242.4,5
Callitrichidae,Saguinus inustus,803,,,,
Callitrichidae,Saguinus labiatus,510,144.21,0.2,,5.25
Callitrichidae,Saguinus leucopus,457,142.5,,,7.5
Callitrichidae,Saguinus midas,541,138.33,0.05,184.8,5.55
Callitrichidae,Saguinus mystax,559,148.37,0.22,,5.4
Callitrichidae,Saguinus nigricollis,450,,0.25,182.4,6.3
Callitrichidae,Saguinus oedipus,464,166.49,0.07,277.2,7.05
Callitrichidae,Saguinus tripartitus,385,,,,
Cebidae,Alouatta belzebul,6180,,,,7.4
Cebidae,Alouatta caraya,5590,185.98,,243.6,8.9
Cebidae,Alouatta coibensis,,,,,5.2
Cebidae,Alouatta fusca,5190,,0.03,,7.4
Cebidae,Alouatta palliata,6580,185.48,0.19,300,13.1
Cebidae,Alouatta pigra,7200,185.98,0.3,240,5.5
Cebidae,Alouatta sara,6610,,,,
Cebidae,Alouatta seniculus,6420,189.96,0.1,300,7.9
Cebidae,Aotus azarai,963,,,,4.1
Cebidae,Aotus brumbacki,603,,,,
Cebidae,Aotus hershkovitzi,800,,,,
Cebidae,Aotus infulatus,800,,,,
Cebidae,Aotus lemurinus,881,132.27,,216,
Cebidae,Aotus miconax,800,,,,
Cebidae,Aotus nancymaae,795,,,,4
Cebidae,Aotus nigriceps,1060,,,,3.3
Cebidae,Aotus trivirgatus,912,133.51,0.02,303.6,3.15
Cebidae,Aotus vociferans,873,,,,3.3
Cebidae,Ateles belzebuth,6720,138.24,2.31,336,14.5
Cebidae,Ateles chamek,7130,,1.19,,
Cebidae,Ateles fusciceps,9070,224.77,,288,
Cebidae,Ateles geoffroyi,7610,226.52,0.74,327.6,42
Cebidae,Ateles marginatus,6240,,,,
Cebidae,Ateles paniscus,8710,228.25,1.39,453.6,20
Cebidae,Brachyteles arachnoides,10600,221.82,1.06,,19.6
Cebidae,Cacajao calvus,3420,180,,324,23.7
Cebidae,Cacajao melanocephalus,3140,,,216,30
Cebidae,Callicebus brunneus,852,,0.04,,2.5
Cebidae,Callicebus caligatus,992,,,,1
Cebidae,Callicebus cinerascens,992,,,,1
Cebidae,Callicebus cupreus,1120,129.29,,,2.05
Cebidae,Callicebus donacophilus,899,,,,1
Cebidae,Callicebus dubius,992,,,,1
Cebidae,Callicebus hoffmannsi,1070,,,,1
Cebidae,Callicebus modestus,992,,,,1
Cebidae,Callicebus moloch,965,163.99,0.02,303.6,2.95
Cebidae,Callicebus oenanthe,992,,,,1
Cebidae,Callicebus olallae,992,,,,1
Cebidae,Callicebus personatus,1390,,0.03,,2.35
Cebidae,Callicebus torquatus,1220,,0.11,,3.85
Cebidae,Cebus albifrons,2520,158.49,0.54,528,25
Cebidae,Cebus apella,2760,154.99,1.15,541.2,7.9
Cebidae,Cebus capucinus,3010,161.12,0.35,657.6,18.15
Cebidae,Cebus olivaceus,2800,,1.73,492,11.45
Cebidae,Chiropotes albinasus,2800,157.77,2.01,204,22.5
Cebidae,Chiropotes satanas,2970,157.77,1.51,216,14.4
Cebidae,Lagothrix flavicauda,8270,224.99,,,9.1
Cebidae,Lagothrix lagotricha,6270,223.99,2.85,360,33
Cebidae,Pithecia aequatorialis,2380,,,178.8,
Cebidae,Pithecia albicans,2800,,,,4.6
Cebidae,Pithecia irrorata,2320,,,,4.4
Cebidae,Pithecia monachus,2110,,,295.2,2.5
Cebidae,Pithecia pithecia,1670,161.23,0.04,248.4,2.7
Cebidae,Saimiri boliviensis,805,157.84,,,60
Cebidae,Saimiri oerstedii,714,160.99,0.11,,25.1
Cebidae,Saimiri sciureus,750,164.2,0.69,324,34.85
Cebidae,Saimiri ustus,890,,,,
Cebidae,Saimiri vanzolinii,784,,,,40
Cercopithecidae,Allenopithecus nigroviridis,4750,,,276,40
Cercopithecidae,Cercocebus agilis,7120,,,,
Cercopithecidae,Cercocebus galeritus,7080,174.49,0.52,252,20.35
Cercopithecidae,Cercocebus torquatus,7290,168.98,,360,26.9
Cercopithecidae,Cercopithecus ascanius,3540,148.5,0.17,339.6,26.3
Cercopithecidae,Cercopithecus campbelli,3640,180.92,0.02,396,11
Cercopithecidae,Cercopithecus cephus,3440,169.57,0.24,276,11
Cercopithecidae,Cercopithecus diana,4370,,1.27,447.6,24.95
Cercopithecidae,Cercopithecus dryas,2780,,,,
Cercopithecidae,Cercopithecus erythrogaster,3440,,,,
Cercopithecidae,Cercopithecus erythrotis,3250,,,,
Cercopithecidae,Cercopithecus hamlyni,4620,,,324,
Cercopithecidae,Cercopithecus lhoesti,5320,,,192,17.4
Cercopithecidae,Cercopithecus mitis,5040,138.48,0.11,325.2,16
Cercopithecidae,Cercopithecus mona,3980,,,360,
Cercopithecidae,Cercopithecus neglectus,5320,172.51,0.06,315.6,4.5
Cercopithecidae,Cercopithecus nictitans,5260,169.57,1.17,276,16
Cercopithecidae,Cercopithecus petaurista,3240,,,228,14
Cercopithecidae,Cercopithecus pogonias,3580,169.57,1.17,289.2,15
Cercopithecidae,Cercopithecus preussi,5140,,,,3
Cercopithecidae,Cercopithecus sclateri,3070,,,,
Cercopithecidae,Cercopithecus solatus,5260,,,,10
Cercopithecidae,Cercopithecus wolfi,3260,,,,
Cercopithecidae,Chlorocebus aethiops,4030,163.19,0.36,379.2,19.2
Cercopithecidae,Colobus angolensis,8990,,,,10.9
Cercopithecidae,Colobus guereza,10000,169.07,0.17,294,7.6
Cercopithecidae,Colobus polykomos,8610,172.81,0.21,366,13.1
Cercopithecidae,Colobus satanas,9150,192.89,0.44,,15.5
Cercopithecidae,Erythrocebus patas,8010,167.2,28.8,286.8,28
Cercopithecidae,Lophocebus albigena,7360,182.93,0.81,392.4,16
Cercopithecidae,Macaca arctoides,9400,176.59,,360,
Cercopithecidae,Macaca assamensis,8560,,,,21
Cercopithecidae,Macaca cyclopis,5760,161.12,,,20.2
Cercopithecidae,Macaca fascicularis,4590,164.69,0.47,456,27
Cercopithecidae,Macaca fuscata,10100,173.1,1.46,396,40.65
Cercopithecidae,Macaca maura,7290,167.3,,,
Cercopithecidae,Macaca mulatta,6450,166.18,6.03,432,38.5
Cercopithecidae,Macaca nemestrina,7870,171,1.79,411.6,22.6
Cercopithecidae,Macaca nigra,7380,172.49,,216,24.75
Cercopithecidae,Macaca ochreata,2750,,,,
Cercopithecidae,Macaca radiata,5000,161.61,0.9,360,33.5
Cercopithecidae,Macaca silenus,6000,171.99,0.9,480,21
Cercopithecidae,Macaca sinica,4660,181.02,0.41,420,20.1
Cercopithecidae,Macaca sylvanus,11500,164.84,2.68,264,18.3
Cercopithecidae,Macaca thibetana,10600,169.07,,,21
Cercopithecidae,Macaca tonkeana,10100,,,,
Cercopithecidae,Mandrillus leucophaeus,14200,179.34,,400.8,17
Cercopithecidae,Mandrillus sphinx,16800,175,26.8,555.96,13.9
Cercopithecidae,Miopithecus talapoin,1250,164.49,0.81,370.8,91.2
Cercopithecidae,Nasalis concolor,7390,,0.1,,2.75
Cercopithecidae,Nasalis larvatus,12300,165.1,1.42,252,11.25
Cercopithecidae,Papio hamadryas,16900,178.05,9.3,540,43.5
Cercopithecidae,Presbytis comata,6620,,0.13,,7.05
Cercopithecidae,Presbytis femoralis,7000,,0.07,,
Cercopithecidae,Presbytis frontata,6160,,,,
Cercopithecidae,Presbytis hosei,6300,,0.21,,7
Cercopithecidae,Presbytis melalophos,6470,,0.13,192,14
Cercopithecidae,Presbytis potenziani,6460,,0.13,,3.7
Cercopithecidae,Presbytis rubicunda,6410,,0.51,,6.5
Cercopithecidae,Presbytis thomasi,6690,,0.09,,8
Cercopithecidae,Procolobus badius,8430,151.46,0.43,,34
Cercopithecidae,Procolobus pennantii,9160,164.99,1.32,,33.8
Cercopithecidae,Procolobus preussi,8910,195,0.4,,40
Cercopithecidae,Procolobus rufomitratus,8070,195,0.05,,22.25
Cercopithecidae,Procolobus verus,3980,167.96,0.17,,6.3
Cercopithecidae,Pygathrix avunculus,9120,199.99,,,30
Cercopithecidae,Pygathrix bieti,11000,169.99,20.8,,50
Cercopithecidae,Pygathrix brelichi,12300,199.99,7.52,,
Cercopithecidae,Pygathrix nemaeus,9550,183,,300,9.3
Cercopithecidae,Pygathrix roxellana,13500,199.41,24.7,,65
Cercopithecidae,Semnopithecus entellus,12600,197.7,1.33,300,19
Cercopithecidae,Theropithecus gelada,16000,178.86,1.18,336,10
Cercopithecidae,Trachypithecus auratus,9720,,0.03,,11
Cercopithecidae,Trachypithecus cristatus,7130,,0.12,373.2,22.8
Cercopithecidae,Trachypithecus francoisi,8170,,,,
Cercopithecidae,Trachypithecus geei,8360,,2.26,,11
Cercopithecidae,Trachypithecus johnii,10600,,0.08,,14.8
Cercopithecidae,Trachypithecus obscurus,7120,145.88,0.18,300,17
Cercopithecidae,Trachypithecus phayrei,7700,180.67,0.18,,12.9
Cercopithecidae,Trachypithecus pileatus,11200,,0.22,,8.5
Cercopithecidae,Trachypithecus vetulus,7860,204.79,0.02,276,8.8
Cheirogaleidae,Allocebus trichotis,78.9,,,,1
Cheirogaleidae,Cheirogaleus major,448,69.99,0.02,180,1
Cheirogaleidae,Cheirogaleus medius,197,61.79,0.02,231.6,1
Cheirogaleidae,Microcebus coquereli,328,88.61,0.03,183.6,1
Cheirogaleidae,Microcebus murinus,66.6,60.34,0.01,186,1
Cheirogaleidae,Microcebus rufus,48.5,60,0.01,144,1
Cheirogaleidae,Phaner furcifer,410,174.91,0.02,144,1
Daubentoniidae,Daubentonia madagascariensis,2750,166.48,0.06,291.6,1
Galagonidae,Euoticus elegantulus,296,133.54,,180,1
Galagonidae,Euoticus pallidus,278,,,,
Galagonidae,Galago alleni,269,132.99,0.18,144,6
Galagonidae,Galago gallarum,250,,,,
Galagonidae,Galago matschiei,214,,,,1
Galagonidae,Galago moholi,194,122.33,0.05,198,1
Galagonidae,Galago senegalensis,216,127.15,0.08,204,3.5
Galagonidae,Galagoides demidoff,67.1,110.99,0.01,168,1
Galagonidae,Galagoides zanzibaricus,148,120,0.01,,1
Galagonidae,Otolemur crassicaudatus,1250,131.04,0.06,225.6,3.5
Galagonidae,Otolemur garnettii,814,132.24,0.12,204,1
Hominidae,Gorilla gorilla,114000,256.99,4.11,648,6
