BOX,FAMILY,PREDATOR,MATE,MASS,ST1,ST2,ST3,SL1,SL2,SL3,Age_Morph,AFR,SFR_Mass,SFR_SL
1,7,P,M,151,0.4,0.36,0.38,10.09,10,10.08,93,93,139,10.07
2,19,NP,NM,152,0.17,0.16,0.17,10.74,10.83,10.92,93,114,187,11.97
3,12,NP,M,30,0.16,0.08,0.12,6.95,6.36,6.29,93,72,34,6.67
4,22,P,M,89,0.19,0.2,0.2,8.49,8.66,8.48,93,,,
5,25,NP,M,50,0.19,0.19,0.16,7.55,7.4,7.61,93,95,53,7.34
6,19,P,M,97,0.21,0.27,0.22,9.63,9.57,9.4,93,93,88,9.07
7,7,P,M,140,0.32,0.36,0.27,10.89,10.63,10.68,93,74,155,10.63
8,2,NP,M,40,0.06,0.09,0.08,7.59,7.64,7.76,90,86,45,7.74
9,23,NP,M,96,0.14,0.12,0.16,9.2,9.48,9.54,93,67,95,9.58
10,5,NP,M,22,0.06,0.11,0.09,5.83,5.95,5.82,93,74,33,5.7
11,25,NP,NM,240,0.17,0.15,0.19,12.54,12.6,12.63,93,,,
12,4,P,M,69,0.28,0.28,0.29,8.65,8.68,8.54,93,74,71,8.31
13,3,P,M,126,0.21,0.17,0.19,9.89,10.1,9.65,93,,,
14,30,P,M,82,0.27,0.28,0.28,8.52,8.58,8.69,93,100,80,8.54
15,28,NP,M,30,0.06,0.06,1,7.16,6.96,6.87,80,53,24,5.7
16,22,P,M,217,0.32,0.28,0.29,11.85,11.95,11.83,93,100,220,11.81
17,11,NP,M,47,0.11,0.06,0.1,7.4,7.66,7.51,93,137,75,8.82
18,7,P,NM,125,0.25,0.22,0.26,9.96,10.34,10.33,93,,,
19,21,NP,NM,37,0.18,0.17,0.22,9.35,9.33,9.33,93,,,
20,16,P,NM,167,0.38,0.36,0.37,10.38,10.84,10.93,93,,,
21,11,NP,NM,99,0.16,0.17,0.17,9.11,9.34,9.19,93,,,
22,30,NP,M,58,0.11,0.12,0.15,8.18,8.13,8.51,93,88,72,8.14
23,7,NP,M,147,0.21,0.21,0.22,10.66,10.92,11.14,93,83,137,10.7
24,25,P,M,125,0.27,0.28,0.27,10.35,10.94,10.53,93,100,139,10.65
25,2,NP,M,94,0.13,0.14,0.15,9.83,9.84,10.04,93,65,104,9.52
26,21,P,M,86,0.23,0.25,0.26,8.76,8.77,8.92,93,100,84,7.96
27,10,P,M,84,0.2,0.2,0.17,9,8.95,8.98,93,,,
28,2,P,NM,58,0.19,0.19,0.16,8.01,8.18,8.06,93,275,207,11.91
29,23,P,NM,134,0.4,0.37,0.4,10.59,10.97,10.58,93,,,
30,20,NP,M,51,0.07,0.1,0.06,7.67,7.56,7.73,93,102,47,7.97
31,6,NP,M,50,0.14,0.15,0.13,7.64,7.63,7.87,88,80,52,7.65
32,5,P,M,83,0.19,0.26,0.3,8.98,9.02,8.85,86,65,85,8.57
33,14,P,M,71,0.17,0.19,0.18,8.59,8.48,8.36,93,86,78,8.61
34,26,NP,M,58,0.18,0.11,0.13,8.13,8.2,8.4,93,88,64,8.48
35,9,NP,M,98,0.15,0.14,0.2,9.26,9.32,9.33,93,80,101,9.47
36,2,P,NM,190,0.22,0.28,0.27,12.56,12.57,12.74,93,,,
37,8,NP,M,127,0.11,0.16,0.12,9.73,9.97,10.2,93,72,121,9.93
38,1,P,NM,102,0.29,0.28,0.29,9.52,9.4,9.31,93,,,
