"species","order","split","mass","TEE"
"Microcebus_murinus","Primates","primate",0.064,28
"Lepilemur_ruficaudatus","Primates","primate",0.77,121
"Eulemur_fulvus","Primates","primate",1.84,146
"Lemur_catta","Primates","primate",2.24,146
"Propithecus_diadema","Primates","primate",4.9,346
"Alouatta_palliata","Primates","primate",7.12,602
"Papio_cynocephalus","Primates","primate",12,813
"Homo_sapiens","Primates","primate",46.6,2212
"Callithrix_jacchus","Primates","primate",0.45,51
"Macaca_radiata","Primates","primate",4.2,251
"Allenopithecus_nigroviridis","Primates","primate",7.9,524
"Macaca_mulatta","Primates","primate",14.4,607
"Papio_anubis","Primates","primate",16.2,832
"Pan_paniscus","Primates","primate",38,1767
"Pan_troglodytes","Primates","primate",57.1,2386
"Pongo_pygmaeus","Primates","primate",74.8,1984
"Gorilla_gorilla","Primates","primate",123.7,3160
"Antidorcas_marsupialis","Artiodactyla","nonprimate",43.3,5760
"Odocoileus_hemionus","Artiodactyla","nonprimate",39.1,4302.1
"Oryx_leucoryx","Artiodactyla","nonprimate",89,5277.4
"Oryx_aries","Artiodactyla","nonprimate",52.7,4046.3
"Capreolus_capreolus","Artiodactyla","nonprimate",22.5,1230.5
"Pipistrellus_pipistrellus","Chiroptera","nonprimate",0.007,7
"Plecotus_auritus","Chiroptera","nonprimate",0.009,6.6
"Myotis_lucifugus","Chiroptera","nonprimate",0.009,7.1
"Anoura_caudifera","Chiroptera","nonprimate",0.012,12.4
"Macrotus_californicus","Chiroptera","nonprimate",0.013,5.1
"Eptesicus_fuscus","Chiroptera","nonprimate",0.021,10.4
"Phyllostomus_hastatus","Chiroptera","nonprimate",0.081,34.9
"Bassariscus_astutus","Carnivora","nonprimate",0.75,112.8
"Vulpes_cana","Carnivora","nonprimate",0.97,153.4
"Vulpes_macrotis","Carnivora","nonprimate",1.48,282
"Vulpes_velox","Carnivora","nonprimate",2.1,425.4
"Proteles_cristata","Carnivora","nonprimate",8.54,442.2
"Lycaon_pictus","Carnivora","nonprimate",25.2,3656.8
"Canis_lupus","Carnivora","nonprimate",37.3,4230.4
"Suricata_suricatta","Carnivora","nonprimate",0.7,166.6
"Lontra_canadensis","Carnivora","nonprimate",7.84,1132.4
"Canis_familiaris","Carnivora","nonprimate",33.5,2024.3
"Arctocephalus_galapagoensis","Pinnipedia","nonprimate",30.1,3108.5
"Arctocephalus_gazella","Pinnipedia","nonprimate",34.6,5497.1
"Callorhinus_ursinus","Pinnipedia","nonprimate",51.1,8628.1
"Zalophus_californianus","Pinnipedia","nonprimate",78,9225.6
"Neophoca_cinerea","Pinnipedia","nonprimate",83.5,9440.7
"Phoca_vitulina","Pinnipedia","nonprimate",99,12547.8
"Phocarctos_hookeri","Pinnipedia","nonprimate",116.4,13147.8
"Lepus_californicus","Lagomorpha","nonprimate",1.8,310.7
"Lepus_americanus","Lagomorpha","nonprimate",1.35,252.8
"Bradypus_variegatus","Pilosa","nonprimate",4.15,130.3
"Gerbillus_henleyi","Rodentia","nonprimate",0.009,6.3
"Peromyscus_crinitus","Rodentia","nonprimate",0.013,9.4
"Mus_musculus","Rodentia","nonprimate",0.015,11.3
"Clethrionomys_rutilus","Rodentia","nonprimate",0.016,13.8
"Chaetodipus_formosus","Rodentia","nonprimate",0.018,10.8
"Peromyscus_maniculatus","Rodentia","nonprimate",0.018,12.8
"Peromyscus_leucopus","Rodentia","nonprimate",0.019,9.9
"Microtus_arvalis","Rodentia","nonprimate",0.02,21.5
"Eremitalpa_namibensis","Rodentia","nonprimate",0.021,3
"Gerbillus_allenbyi","Rodentia","nonprimate",0.023,8.5
"Clethrionomys_glareolus","Rodentia","nonprimate",0.023,21
"Microtus_agrestis","Rodentia","nonprimate",0.027,18.6
"Gerbillus_pyramidum","Rodentia","nonprimate",0.032,10.8
"Pseudomys_albocinereus","Rodentia","nonprimate",0.033,14.9
"Dipodomys_merriami","Rodentia","nonprimate",0.34,11.4
"Microtus_pennsylvanicus","Rodentia","nonprimate",0.037,27.5
"Acomys_cahirinus","Rodentia","nonprimate",0.038,12.4
"Sekeetamys_calurus","Rodentia","nonprimate",0.041,10.5
"Acomys_russatus","Rodentia","nonprimate",0.045,11.4
"Lemmus_trimucronatus","Rodentia","nonprimate",0.055,48
"Dipodomys_microps","Rodentia","nonprimate",0.057,20.2
"Mastomys_natalensis","Rodentia","nonprimate",0.057,20.7
"Meriones_crassus","Rodentia","nonprimate",0.69,15.5
"Arvicola_terrestris","Rodentia","nonprimate",0.086,28.4
"Ammospermophilus_leucurus","Rodentia","nonprimate",0.087,21
"Tamias_striatus","Rodentia","nonprimate",0.096,34.2
"Thomomys_bottae","Rodentia","nonprimate",0.104,31.1
"Psammomys_obesus","Rodentia","nonprimate",0.17,39.4
"Spermophilus_saturatus","Rodentia","nonprimate",0.214,54
"Spermophilus_parryii","Rodentia","nonprimate",0.63,195.3
"Tamiasciurus_hudsonicus","Rodentia","nonprimate",0.203,81
"Xerus_inauris","Rodentia","nonprimate",0.578,91.3
"Marmota_flaviventris","Rodentia","nonprimate",3.19,580.8
"Microgale_dobsoni","Afrosoricida","nonprimate",0.043,18.4
"Microgale_talazaci","Afrosoricida","nonprimate",0.043,15.9
